 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           z           p      nuklea      growth       drift       misch         rho           T  aquer[mic]    vdr[m/s]          Kn    tau_nucl    tau_grow    tau_sink     tau_mix
  3.9093E+05  2.8900E-02  5.7457E-42  8.7167E-45 -5.7545E-42 -1.8162E-60  7.8447E-13  1.0306E+03  1.9569E-03  1.0851E+03  6.0451E+09  2.7333E+00  1.8031E+03  1.0799E+01  8.6542E+18
  4.6454E+05  2.9903E-02  6.4092E-42  1.1785E-44 -6.4210E-42 -2.5576E-60  8.1177E-13  1.0307E+03  1.9570E-03  1.0486E+03  5.8414E+09  3.2005E+00  1.7424E+03  1.1175E+01  8.0283E+18
  5.3816E+05  3.0941E-02  7.1493E-42  1.5547E-44 -7.1649E-42 -3.5148E-60  8.4003E-13  1.0307E+03  1.9571E-03  1.0134E+03  5.6446E+09  3.6571E+00  1.6837E+03  1.1564E+01  7.4477E+18
  6.1177E+05  3.2015E-02  7.9749E-42  2.0147E-44 -7.9951E-42 -4.7444E-60  8.6927E-13  1.0307E+03  1.9573E-03  9.7932E+02  5.4543E+09  4.1046E+00  1.6270E+03  1.1966E+01  6.9091E+18
  6.8538E+05  3.3126E-02  8.8958E-42  2.5755E-44 -8.9216E-42 -6.3175E-60  8.9953E-13  1.0307E+03  1.9574E-03  9.4640E+02  5.2705E+09  4.5445E+00  1.5722E+03  1.2383E+01  6.4095E+18
  7.5899E+05  3.4280E-02  9.9261E-42  3.2581E-44 -9.9587E-42 -8.3258E-60  9.3092E-13  1.0307E+03  1.9576E-03  9.1451E+02  5.0924E+09  4.9772E+00  1.5191E+03  1.2815E+01  5.9447E+18
  8.3260E+05  3.5485E-02  1.1087E-41  4.0896E-44 -1.1128E-41 -1.0892E-59  9.6370E-13  1.0307E+03  1.9577E-03  8.8343E+02  4.9188E+09  5.4016E+00  1.4674E+03  1.3266E+01  5.5096E+18
  9.0622E+05  3.6732E-02  1.2384E-41  5.0987E-44 -1.2435E-41 -1.4154E-59  9.9762E-13  1.0308E+03  1.9579E-03  8.5341E+02  4.7511E+09  5.8227E+00  1.4175E+03  1.3732E+01  5.1064E+18
  9.7983E+05  3.8023E-02  1.3832E-41  6.3215E-44 -1.3895E-41 -1.8290E-59  1.0327E-12  1.0308E+03  1.9581E-03  8.2442E+02  4.5891E+09  6.2417E+00  1.3693E+03  1.4215E+01  4.7327E+18
  1.0534E+06  3.9360E-02  1.5449E-41  7.8012E-44 -1.5527E-41 -2.3525E-59  1.0691E-12  1.0308E+03  1.9583E-03  7.9640E+02  4.4326E+09  6.6598E+00  1.3227E+03  1.4716E+01  4.3863E+18
  1.1271E+06  4.0743E-02  1.7256E-41  9.5896E-44 -1.7352E-41 -3.0140E-59  1.1067E-12  1.0308E+03  1.9585E-03  7.6935E+02  4.2814E+09  7.0779E+00  1.2777E+03  1.5233E+01  4.0653E+18
  1.2007E+06  4.2175E-02  1.9274E-41  1.1749E-43 -1.9392E-41 -3.8489E-59  1.1457E-12  1.0308E+03  1.9587E-03  7.4321E+02  4.1354E+09  7.4973E+00  1.2343E+03  1.5769E+01  3.7678E+18
  1.2743E+06  4.3658E-02  2.1529E-41  1.4354E-43 -2.1672E-41 -4.9010E-59  1.1860E-12  1.0308E+03  1.9589E-03  7.1797E+02  3.9943E+09  7.9190E+00  1.1923E+03  1.6324E+01  3.4920E+18
  1.3479E+06  4.5192E-02  2.4046E-41  1.7493E-43 -2.4221E-41 -6.2257E-59  1.2278E-12  1.0309E+03  1.9591E-03  6.9358E+02  3.8579E+09  8.3438E+00  1.1518E+03  1.6898E+01  3.2364E+18
  1.4215E+06  4.6781E-02  2.6858E-41  2.1274E-43 -2.7071E-41 -7.8918E-59  1.2710E-12  1.0309E+03  1.9594E-03  6.7003E+02  3.7263E+09  8.7729E+00  1.1127E+03  1.7492E+01  2.9996E+18
  1.4951E+06  4.8431E-02  3.0012E-41  2.5832E-43 -3.0270E-41 -9.9898E-59  1.3159E-12  1.0309E+03  1.9597E-03  6.4719E+02  3.5986E+09  9.2045E+00  1.0748E+03  1.8110E+01  2.7793E+18
  1.5687E+06  5.0157E-02  3.3571E-41  3.1342E-43 -3.3885E-41 -1.2641E-58  1.3629E-12  1.0309E+03  1.9600E-03  6.2494E+02  3.4741E+09  9.6359E+00  1.0378E+03  1.8755E+01  2.5732E+18
  1.6423E+06  5.1945E-02  3.7553E-41  3.7979E-43 -3.7933E-41 -1.5976E-58  1.4115E-12  1.0309E+03  1.9603E-03  6.0345E+02  3.3540E+09  1.0075E+01  1.0022E+03  1.9423E+01  2.3824E+18
  1.7159E+06  5.3796E-02  4.2007E-41  4.5973E-43 -4.2467E-41 -2.0170E-58  1.4618E-12  1.0310E+03  1.9606E-03  5.8270E+02  3.2379E+09  1.0522E+01  9.6773E+02  2.0115E+01  2.2057E+18
  1.7896E+06  5.5713E-02  4.6989E-41  5.5597E-43 -4.7545E-41 -2.5441E-58  1.5140E-12  1.0310E+03  1.9610E-03  5.6267E+02  3.1258E+09  1.0979E+01  9.3449E+02  2.0832E+01  2.0422E+18
  1.8632E+06  5.7699E-02  5.2563E-41  6.7180E-43 -5.3234E-41 -3.2063E-58  1.5680E-12  1.0310E+03  1.9613E-03  5.4333E+02  3.0176E+09  1.1446E+01  9.0241E+02  2.1574E+01  1.8908E+18
