           z           p           T        n<H>          He           H           C           N           O          Si          Mg          Al          Fe           S          Na           K          Ti          Ca
  2.5539E+07  1.2542E+04  1.5775E+03  9.8599E+16  8.3921E+15  2.0527E+13  1.9727E-02  1.4851E+03  9.0848E+04  1.8427E+06  3.3877E+12  2.6925E+08  2.3652E+12  3.0871E+09  1.4573E+11  1.1697E+10  1.1074E+05  3.6732E+10
  2.5557E+07  1.2692E+04  1.5789E+03  9.9689E+16  8.4849E+15  2.0952E+13  2.0768E-02  1.5423E+03  9.3924E+04  1.9022E+06  3.4209E+12  2.7976E+08  2.4245E+12  3.1503E+09  1.4734E+11  1.1825E+10  1.1520E+05  3.6494E+10
  2.5575E+07  1.2844E+04  1.5803E+03  1.0079E+17  8.5787E+15  2.1385E+13  2.1860E-02  1.6017E+03  9.7104E+04  1.9636E+06  3.4552E+12  2.9067E+08  2.4842E+12  3.2146E+09  1.4897E+11  1.1955E+10  1.1984E+05  3.6256E+10
  2.5594E+07  1.2998E+04  1.5817E+03  1.0191E+17  8.6736E+15  2.1827E+13  2.3008E-02  1.6633E+03  1.0039E+05  2.0269E+06  3.4900E+12  3.0201E+08  2.5444E+12  3.2801E+09  1.5061E+11  1.2085E+10  1.2467E+05  3.6018E+10
  2.5612E+07  1.3153E+04  1.5832E+03  1.0303E+17  8.7695E+15  2.2277E+13  2.4214E-02  1.7272E+03  1.0378E+05  2.0922E+06  3.5255E+12  3.1379E+08  2.6051E+12  3.3468E+09  1.5228E+11  1.2217E+10  1.2970E+05  3.5781E+10
  2.5631E+07  1.3310E+04  1.5846E+03  1.0417E+17  8.8664E+15  2.2736E+13  2.5480E-02  1.7934E+03  1.0728E+05  2.1597E+06  3.5615E+12  3.2604E+08  2.6660E+12  3.4147E+09  1.5396E+11  1.2351E+10  1.3493E+05  3.5543E+10
  2.5649E+07  1.3469E+04  1.5860E+03  1.0532E+17  8.9644E+15  2.3204E+13  2.6812E-02  1.8620E+03  1.1089E+05  2.2291E+06  3.5980E+12  3.3878E+08  2.7273E+12  3.4839E+09  1.5566E+11  1.2486E+10  1.4040E+05  3.5305E+10
  2.5667E+07  1.3630E+04  1.5874E+03  1.0649E+17  9.0635E+15  2.3681E+13  2.8209E-02  1.9332E+03  1.1462E+05  2.3009E+06  3.6353E+12  3.5202E+08  2.7888E+12  3.5543E+09  1.5738E+11  1.2622E+10  1.4609E+05  3.5068E+10
  2.5686E+07  1.3793E+04  1.5888E+03  1.0766E+17  9.1638E+15  2.4167E+13  2.9677E-02  2.0070E+03  1.1847E+05  2.3747E+06  3.6733E+12  3.6581E+08  2.8505E+12  3.6261E+09  1.5912E+11  1.2760E+10  1.5203E+05  3.4831E+10
  2.5704E+07  1.3958E+04  1.5903E+03  1.0886E+17  9.2651E+15  2.4662E+13  3.1218E-02  2.0834E+03  1.2245E+05  2.4511E+06  3.7117E+12  3.8017E+08  2.9123E+12  3.6990E+09  1.6088E+11  1.2899E+10  1.5823E+05  3.4594E+10
  2.5723E+07  1.4125E+04  1.5917E+03  1.1006E+17  9.3675E+15  2.5167E+13  3.2837E-02  2.1627E+03  1.2655E+05  2.5296E+06  3.7508E+12  3.9513E+08  2.9740E+12  3.7734E+09  1.6266E+11  1.3040E+10  1.6471E+05  3.4358E+10
  2.5741E+07  1.4301E+04  1.5934E+03  1.1130E+17  9.4736E+15  2.5779E+13  3.4841E-02  2.2628E+03  1.3202E+05  2.6275E+06  3.8080E+12  4.1283E+08  3.0556E+12  3.8670E+09  1.6450E+11  1.3185E+10  1.7222E+05  3.4015E+10
  2.5747E+07  1.4362E+04  1.5941E+03  1.1174E+17  9.5103E+15  2.6011E+13  3.5633E-02  2.3019E+03  1.3414E+05  2.6636E+06  3.8262E+12  4.1976E+08  3.0883E+12  3.9038E+09  1.6514E+11  1.3236E+10  1.7514E+05  3.3875E+10
  2.5760E+07  1.4486E+04  1.5955E+03  1.1261E+17  9.5843E+15  2.6482E+13  3.7283E-02  2.3820E+03  1.3845E+05  2.7372E+06  3.8580E+12  4.3422E+08  3.1541E+12  3.9783E+09  1.6642E+11  1.3336E+10  1.8126E+05  3.3597E+10
  2.5778E+07  1.4672E+04  1.5975E+03  1.1390E+17  9.6945E+15  2.7192E+13  3.9867E-02  2.5053E+03  1.4502E+05  2.8500E+06  3.9000E+12  4.5679E+08  3.2517E+12  4.0906E+09  1.6833E+11  1.3487E+10  1.9086E+05  3.3189E+10
  2.5796E+07  1.4859E+04  1.5995E+03  1.1521E+17  9.8061E+15  2.7920E+13  4.2626E-02  2.6346E+03  1.5187E+05  2.9672E+06  3.9415E+12  4.8078E+08  3.3492E+12  4.2058E+09  1.7027E+11  1.3639E+10  2.0110E+05  3.2783E+10
  2.5815E+07  1.5049E+04  1.6015E+03  1.1654E+17  9.9189E+15  2.8666E+13  4.5570E-02  2.7703E+03  1.5903E+05  3.0890E+06  3.9835E+12  5.0624E+08  3.4463E+12  4.3239E+09  1.7223E+11  1.3793E+10  2.1202E+05  3.2382E+10
  2.5833E+07  1.5241E+04  1.6035E+03  1.1788E+17  1.0033E+16  2.9430E+13  4.8709E-02  2.9127E+03  1.6651E+05  3.2157E+06  4.0262E+12  5.3329E+08  3.5426E+12  4.4449E+09  1.7421E+11  1.3948E+10  2.2369E+05  3.1983E+10
  2.5852E+07  1.5436E+04  1.6055E+03  1.1923E+17  1.0148E+16  3.0213E+13  5.2057E-02  3.0620E+03  1.7432E+05  3.3472E+06  4.0697E+12  5.6209E+08  3.6377E+12  4.5690E+09  1.7621E+11  1.4105E+10  2.3618E+05  3.1589E+10
  2.5868E+07  1.5615E+04  1.6073E+03  1.2048E+17  1.0254E+16  3.0941E+13  5.5289E-02  3.2040E+03  1.8172E+05  3.4714E+06  4.1098E+12  5.8985E+08  3.7225E+12  4.6844E+09  1.7805E+11  1.4250E+10  2.4829E+05  3.1233E+10
  2.5887E+07  1.5815E+04  1.6093E+03  1.2187E+17  1.0372E+16  3.1761E+13  5.9072E-02  3.3676E+03  1.9021E+05  3.6130E+06  4.1544E+12  6.2237E+08  3.8139E+12  4.8145E+09  1.8010E+11  1.4410E+10  2.6257E+05  3.0846E+10
  2.5905E+07  1.6016E+04  1.6113E+03  1.2327E+17  1.0492E+16  3.2600E+13  6.3097E-02  3.5389E+03  1.9906E+05  3.7600E+06  4.1997E+12  6.5702E+08  3.9023E+12  4.9475E+09  1.8216E+11  1.4572E+10  2.7789E+05  3.0462E+10
  2.5924E+07  1.6221E+04  1.6134E+03  1.2468E+17  1.0612E+16  3.3461E+13  6.7395E-02  3.7187E+03  2.0832E+05  3.9131E+06  4.2456E+12  6.9411E+08  3.9876E+12  5.0841E+09  1.8426E+11  1.4736E+10  2.9441E+05  3.0082E+10
  2.5936E+07  1.6357E+04  1.6147E+03  1.2562E+17  1.0692E+16  3.4037E+13  7.0366E-02  3.8414E+03  2.1462E+05  4.0168E+06  4.2762E+12  7.1983E+08  4.0415E+12  5.1756E+09  1.8565E+11  1.4845E+10  3.0595E+05  2.9835E+10
  2.5954E+07  1.6566E+04  1.6167E+03  1.2707E+17  1.0815E+16  3.4932E+13  7.5140E-02  4.0359E+03  2.2456E+05  4.1796E+06  4.3234E+12  7.6132E+08  4.1200E+12  5.3179E+09  1.8778E+11  1.5012E+10  3.2470E+05  2.9461E+10
  2.5972E+07  1.6777E+04  1.6187E+03  1.2853E+17  1.0940E+16  3.5850E+13  8.0229E-02  4.2398E+03  2.3493E+05  4.3491E+06  4.3707E+12  8.0579E+08  4.1935E+12  5.4636E+09  1.8994E+11  1.5181E+10  3.4498E+05  2.9090E+10
  2.5991E+07  1.6992E+04  1.6207E+03  1.3001E+17  1.1066E+16  3.6790E+13  8.5648E-02  4.4536E+03  2.4576E+05  4.5249E+06  4.4191E+12  8.5344E+08  4.2614E+12  5.6130E+09  1.9212E+11  1.5352E+10  3.6691E+05  2.8724E+10
  2.6009E+07  1.7209E+04  1.6227E+03  1.3151E+17  1.1193E+16  3.7752E+13  9.1422E-02  4.6776E+03  2.5707E+05  4.7077E+06  4.4679E+12  9.0455E+08  4.3231E+12  5.7660E+09  1.9433E+11  1.5524E+10  3.9069E+05  2.8362E+10
  2.6028E+07  1.7429E+04  1.6247E+03  1.3302E+17  1.1322E+16  3.8738E+13  9.7571E-02  4.9123E+03  2.6886E+05  4.8976E+06  4.5173E+12  9.5938E+08  4.3781E+12  5.9227E+09  1.9657E+11  1.5699E+10  4.1648E+05  2.8003E+10
  2.6046E+07  1.7652E+04  1.6267E+03  1.3455E+17  1.1452E+16  3.9747E+13  1.0412E-01  5.1582E+03  2.8117E+05  5.0948E+06  4.5673E+12  1.0182E+09  4.4260E+12  6.0833E+09  1.9883E+11  1.5875E+10  4.4447E+05  2.7649E+10
  2.6064E+07  1.7877E+04  1.6287E+03  1.3610E+17  1.1584E+16  4.0781E+13  1.1109E-01  5.4159E+03  2.9401E+05  5.2995E+06  4.6180E+12  1.0813E+09  4.4666E+12  6.2478E+09  2.0111E+11  1.6054E+10  4.7486E+05  2.7298E+10
  2.6083E+07  1.8106E+04  1.6307E+03  1.3766E+17  1.1717E+16  4.1839E+13  1.1852E-01  5.6859E+03  3.0740E+05  5.5122E+06  4.6693E+12  1.1490E+09  4.4998E+12  6.4162E+09  2.0343E+11  1.6234E+10  5.0785E+05  2.6951E+10
  2.6101E+07  1.8323E+04  1.6331E+03  1.3911E+17  1.1840E+16  4.3042E+13  1.2735E-01  6.0076E+03  3.2380E+05  5.7540E+06  4.7227E+12  1.2285E+09  4.5509E+12  6.6166E+09  2.0557E+11  1.6399E+10  5.4693E+05  2.6512E+10
  2.6120E+07  1.8536E+04  1.6355E+03  1.4052E+17  1.1961E+16  4.4320E+13  1.3725E-01  6.3617E+03  3.4184E+05  6.0132E+06  4.7684E+12  1.3184E+09  4.6017E+12  6.8333E+09  2.0765E+11  1.6559E+10  5.9177E+05  2.6044E+10
  2.6138E+07  1.8752E+04  1.6380E+03  1.4195E+17  1.2082E+16  4.5636E+13  1.4792E-01  6.7364E+03  3.6087E+05  6.2837E+06  4.8154E+12  1.4166E+09  4.6415E+12  7.0570E+09  2.0976E+11  1.6721E+10  6.4161E+05  2.5583E+10
  2.6156E+07  1.8971E+04  1.6404E+03  1.4339E+17  1.2205E+16  4.6987E+13  1.5938E-01  7.1322E+03  3.8089E+05  6.5663E+06  4.8621E+12  1.5237E+09  4.6704E+12  7.2870E+09  2.1189E+11  1.6885E+10  6.9692E+05  2.5129E+10
  2.6175E+07  1.9193E+04  1.6429E+03  1.4485E+17  1.2329E+16  4.8375E+13  1.7170E-01  7.5500E+03  4.0197E+05  6.8607E+06  4.9098E+12  1.6402E+09  4.6891E+12  7.5238E+09  2.1404E+11  1.7050E+10  7.5821E+05  2.4684E+10
  2.6186E+07  1.9327E+04  1.6444E+03  1.4574E+17  1.2404E+16  4.9229E+13  1.7955E-01  7.8126E+03  4.1518E+05  7.0430E+06  4.9393E+12  1.7152E+09  4.6959E+12  7.6698E+09  2.1535E+11  1.7150E+10  7.9824E+05  2.4420E+10
  2.6204E+07  1.9553E+04  1.6468E+03  1.4722E+17  1.2530E+16  5.0677E+13  1.9336E-01  8.2682E+03  4.3805E+05  7.3585E+06  4.9872E+12  1.8483E+09  4.7010E+12  7.9175E+09  2.1754E+11  1.7317E+10  8.7034E+05  2.3987E+10
  2.6223E+07  1.9781E+04  1.6493E+03  1.4871E+17  1.2658E+16  5.2165E+13  2.0819E-01  8.7491E+03  4.6211E+05  7.6872E+06  5.0364E+12  1.9924E+09  4.7000E+12  8.1724E+09  2.1975E+11  1.7486E+10  9.4993E+05  2.3562E+10
  2.6241E+07  2.0012E+04  1.6518E+03  1.5023E+17  1.2786E+16  5.3692E+13  2.2412E-01  9.2565E+03  4.8740E+05  8.0285E+06  5.0861E+12  2.1484E+09  4.6949E+12  8.4348E+09  2.2198E+11  1.7656E+10  1.0377E+06  2.3144E+10
  2.6260E+07  2.0246E+04  1.6542E+03  1.5175E+17  1.2916E+16  5.5259E+13  2.4122E-01  9.7918E+03  5.1401E+05  8.3849E+06  5.1366E+12  2.3167E+09  4.6880E+12  8.7046E+09  2.2423E+11  1.7828E+10  1.1343E+06  2.2734E+10
  2.6278E+07  2.0482E+04  1.6567E+03  1.5330E+17  1.3048E+16  5.6869E+13  2.5958E-01  1.0356E+04  5.4198E+05  8.7558E+06  5.1876E+12  2.4981E+09  4.6813E+12  8.9821E+09  2.2651E+11  1.8002E+10  1.2404E+06  2.2331E+10
  2.6296E+07  2.0721E+04  1.6591E+03  1.5485E+17  1.3180E+16  5.8522E+13  2.7931E-01  1.0952E+04  5.7132E+05  9.1399E+06  5.2376E+12  2.6938E+09  4.6769E+12  9.2680E+09  2.2881E+11  1.8177E+10  1.3571E+06  2.1935E+10
  2.6315E+07  2.0963E+04  1.6616E+03  1.5643E+17  1.3314E+16  6.0218E+13  3.0042E-01  1.1580E+04  6.0228E+05  9.5434E+06  5.2913E+12  2.9035E+09  4.6761E+12  9.5613E+09  2.3113E+11  1.8354E+10  1.4845E+06  2.1547E+10
  2.6333E+07  2.1208E+04  1.6641E+03  1.5802E+17  1.3449E+16  6.1959E+13  3.2312E-01  1.2242E+04  6.3473E+05  9.9623E+06  5.3428E+12  3.1294E+09  4.6799E+12  9.8632E+09  2.3348E+11  1.8532E+10  1.6244E+06  2.1166E+10
  2.6352E+07  2.1456E+04  1.6665E+03  1.5962E+17  1.3586E+16  6.3746E+13  3.4741E-01  1.2941E+04  6.6892E+05  1.0400E+07  5.3977E+12  3.3714E+09  4.6890E+12  1.0173E+10  2.3585E+11  1.8712E+10  1.7770E+06  2.0791E+10
  2.6370E+07  2.1706E+04  1.6690E+03  1.6125E+17  1.3724E+16  6.5580E+13  3.7352E-01  1.3677E+04  7.0475E+05  1.0854E+07  5.4506E+12  3.6321E+09  4.7034E+12  1.0492E+10  2.3825E+11  1.8893E+10  1.9445E+06  2.0424E+10
  2.6388E+07  2.1960E+04  1.6715E+03  1.6289E+17  1.3864E+16  6.7462E+13  4.0145E-01  1.4452E+04  7.4250E+05  1.1329E+07  5.5067E+12  3.9114E+09  4.7229E+12  1.0820E+10  2.4067E+11  1.9076E+10  2.1274E+06  2.0063E+10
  2.6407E+07  2.2216E+04  1.6739E+03  1.6454E+17  1.4005E+16  6.9393E+13  4.3145E-01  1.5270E+04  7.8204E+05  1.1822E+07  5.5610E+12  4.2124E+09  4.7474E+12  1.1157E+10  2.4311E+11  1.9261E+10  2.3280E+06  1.9709E+10
  2.6425E+07  2.2475E+04  1.6764E+03  1.6621E+17  1.4147E+16  7.1375E+13  4.6354E-01  1.6131E+04  8.2367E+05  1.2336E+07  5.6183E+12  4.5352E+09  4.7760E+12  1.1503E+10  2.4558E+11  1.9448E+10  2.5470E+06  1.9362E+10
  2.6444E+07  2.2738E+04  1.6788E+03  1.6790E+17  1.4291E+16  7.3408E+13  4.9799E-01  1.7039E+04  8.6727E+05  1.2870E+07  5.6739E+12  4.8832E+09  4.8085E+12  1.1859E+10  2.4807E+11  1.9636E+10  2.7874E+06  1.9021E+10
  2.6462E+07  2.2990E+04  1.6810E+03  1.6954E+17  1.4430E+16  7.5301E+13  5.3130E-01  1.7900E+04  9.0830E+05  1.3378E+07  5.7285E+12  5.2205E+09  4.8271E+12  1.2186E+10  2.5049E+11  1.9818E+10  3.0244E+06  1.8727E+10
  2.6480E+07  2.3238E+04  1.6831E+03  1.7116E+17  1.4568E+16  7.7156E+13  5.6517E-01  1.8761E+04  9.4906E+05  1.3882E+07  5.7829E+12  5.5622E+09  4.8496E+12  1.2506E+10  2.5288E+11  2.0000E+10  3.2684E+06  1.8454E+10
  2.6499E+07  2.3490E+04  1.6852E+03  1.7280E+17  1.4707E+16  7.9052E+13  6.0111E-01  1.9661E+04  9.9155E+05  1.4404E+07  5.8382E+12  5.9242E+09  4.8806E+12  1.2833E+10  2.5530E+11  2.0182E+10  3.5308E+06  1.8185E+10
  2.6517E+07  2.3744E+04  1.6874E+03  1.7445E+17  1.4848E+16  8.0991E+13  6.3926E-01  2.0602E+04  1.0358E+06  1.4945E+07  5.8937E+12  6.3088E+09  4.9173E+12  1.3168E+10  2.5774E+11  2.0367E+10  3.8138E+06  1.7920E+10
  2.6536E+07  2.4000E+04  1.6895E+03  1.7612E+17  1.4990E+16  8.2974E+13  6.7973E-01  2.1586E+04  1.0820E+06  1.5505E+07  5.9500E+12  6.7177E+09  4.9578E+12  1.3511E+10  2.6020E+11  2.0553E+10  4.1190E+06  1.7660E+10
  2.6554E+07  2.4260E+04  1.6916E+03  1.7780E+17  1.5133E+16  8.5001E+13  7.2267E-01  2.2614E+04  1.1300E+06  1.6085E+07  6.0067E+12  7.1527E+09  5.0009E+12  1.3861E+10  2.6269E+11  2.0740E+10  4.4486E+06  1.7404E+10
  2.6572E+07  2.4522E+04  1.6937E+03  1.7950E+17  1.5278E+16  8.7074E+13  7.6823E-01  2.3689E+04  1.1801E+06  1.6685E+07  6.0642E+12  7.6157E+09  5.0458E+12  1.4220E+10  2.6520E+11  2.0929E+10  4.8045E+06  1.7151E+10
  2.6591E+07  2.4787E+04  1.6958E+03  1.8122E+17  1.5424E+16  8.9192E+13  8.1655E-01  2.4813E+04  1.2323E+06  1.7307E+07  6.1220E+12  8.1088E+09  5.0919E+12  1.4586E+10  2.6773E+11  2.1120E+10  5.1888E+06  1.6903E+10
  2.6609E+07  2.5056E+04  1.6979E+03  1.8295E+17  1.5572E+16  9.1358E+13  8.6780E-01  2.5987E+04  1.2866E+06  1.7950E+07  6.1805E+12  8.6336E+09  5.1390E+12  1.4961E+10  2.7029E+11  2.1313E+10  5.6039E+06  1.6659E+10
  2.6628E+07  2.5327E+04  1.7000E+03  1.8470E+17  1.5721E+16  9.3572E+13  9.2215E-01  2.7214E+04  1.3432E+06  1.8616E+07  6.2395E+12  9.1925E+09  5.1869E+12  1.5345E+10  2.7287E+11  2.1507E+10  6.0521E+06  1.6418E+10
  2.6646E+07  2.5600E+04  1.7021E+03  1.8647E+17  1.5871E+16  9.5835E+13  9.7977E-01  2.8496E+04  1.4022E+06  1.9306E+07  6.2991E+12  9.7874E+09  5.2355E+12  1.5738E+10  2.7548E+11  2.1702E+10  6.5359E+06  1.6181E+10
  2.6664E+07  2.5877E+04  1.7042E+03  1.8825E+17  1.6023E+16  9.8149E+13  1.0409E+00  2.9836E+04  1.4635E+06  2.0020E+07  6.3592E+12  1.0421E+10  5.2848E+12  1.6139E+10  2.7811E+11  2.1900E+10  7.0583E+06  1.5948E+10
  2.6683E+07  2.6157E+04  1.7063E+03  1.9005E+17  1.6176E+16  1.0051E+14  1.1056E+00  3.1235E+04  1.5274E+06  2.0759E+07  6.4200E+12  1.1095E+10  5.3347E+12  1.6549E+10  2.8077E+11  2.2099E+10  7.6220E+06  1.5719E+10
  2.6701E+07  2.6440E+04  1.7084E+03  1.9187E+17  1.6331E+16  1.0293E+14  1.1743E+00  3.2696E+04  1.5939E+06  2.1523E+07  6.4813E+12  1.1812E+10  5.3852E+12  1.6969E+10  2.8345E+11  2.2300E+10  8.2303E+06  1.5493E+10
  2.6720E+07  2.6726E+04  1.7105E+03  1.9371E+17  1.6487E+16  1.0540E+14  1.2470E+00  3.4223E+04  1.6632E+06  2.2315E+07  6.5432E+12  1.2576E+10  5.4363E+12  1.7398E+10  2.8616E+11  2.2502E+10  8.8865E+06  1.5271E+10
  2.6738E+07  2.7015E+04  1.7126E+03  1.9556E+17  1.6645E+16  1.0792E+14  1.3241E+00  3.5817E+04  1.7353E+06  2.3133E+07  6.6057E+12  1.3388E+10  5.4880E+12  1.7837E+10  2.8889E+11  2.2706E+10  9.5942E+06  1.5053E+10
  2.6756E+07  2.7307E+04  1.7147E+03  1.9743E+17  1.6804E+16  1.1050E+14  1.4058E+00  3.7481E+04  1.8103E+06  2.3981E+07  6.6688E+12  1.4253E+10  5.5402E+12  1.8286E+10  2.9165E+11  2.2912E+10  1.0357E+07  1.4838E+10
  2.6775E+07  2.7602E+04  1.7168E+03  1.9932E+17  1.6965E+16  1.1314E+14  1.4923E+00  3.9220E+04  1.8883E+06  2.4857E+07  6.7325E+12  1.5172E+10  5.5930E+12  1.8744E+10  2.9444E+11  2.3120E+10  1.1180E+07  1.4626E+10
  2.6793E+07  2.7901E+04  1.7189E+03  2.0122E+17  1.7127E+16  1.1583E+14  1.5840E+00  4.1034E+04  1.9696E+06  2.5764E+07  6.7969E+12  1.6150E+10  5.6464E+12  1.9213E+10  2.9725E+11  2.3329E+10  1.2067E+07  1.4418E+10
  2.6812E+07  2.8203E+04  1.7210E+03  2.0315E+17  1.7291E+16  1.1858E+14  1.6810E+00  4.2928E+04  2.0541E+06  2.6702E+07  6.8618E+12  1.7190E+10  5.7004E+12  1.9692E+10  3.0009E+11  2.3541E+10  1.3022E+07  1.4213E+10
  2.6830E+07  2.8494E+04  1.7228E+03  2.0503E+17  1.7451E+16  1.2109E+14  1.7720E+00  4.4669E+04  2.1306E+06  2.7573E+07  6.9250E+12  1.8155E+10  5.7392E+12  2.0120E+10  3.0286E+11  2.3748E+10  1.3919E+07  1.4043E+10
  2.6848E+07  2.8787E+04  1.7246E+03  2.0692E+17  1.7612E+16  1.2361E+14  1.8667E+00  4.6456E+04  2.2088E+06  2.8461E+07  6.9889E+12  1.9156E+10  5.7873E+12  2.0550E+10  3.0566E+11  2.3957E+10  1.4861E+07  1.3879E+10
  2.6867E+07  2.9083E+04  1.7264E+03  2.0883E+17  1.7774E+16  1.2619E+14  1.9662E+00  4.8311E+04  2.2898E+06  2.9376E+07  7.0533E+12  2.0210E+10  5.8396E+12  2.0989E+10  3.0848E+11  2.4168E+10  1.5863E+07  1.3716E+10
  2.6885E+07  2.9382E+04  1.7283E+03  2.1076E+17  1.7938E+16  1.2881E+14  2.0709E+00  5.0237E+04  2.3735E+06  3.0320E+07  7.1184E+12  2.1320E+10  5.8937E+12  2.1436E+10  3.1132E+11  2.4381E+10  1.6930E+07  1.3556E+10
  2.6904E+07  2.9685E+04  1.7301E+03  2.1270E+17  1.8104E+16  1.3149E+14  2.1810E+00  5.2236E+04  2.4601E+06  3.1292E+07  7.1840E+12  2.2489E+10  5.9487E+12  2.1891E+10  3.1419E+11  2.4595E+10  1.8067E+07  1.3398E+10
  2.6922E+07  2.9990E+04  1.7319E+03  2.1467E+17  1.8271E+16  1.3421E+14  2.2967E+00  5.4310E+04  2.5497E+06  3.2294E+07  7.2503E+12  2.3721E+10  6.0045E+12  2.2355E+10  3.1709E+11  2.4811E+10  1.9278E+07  1.3242E+10
  2.6940E+07  3.0299E+04  1.7337E+03  2.1665E+17  1.8440E+16  1.3699E+14  2.4183E+00  5.6463E+04  2.6423E+06  3.3326E+07  7.3171E+12  2.5020E+10  6.0608E+12  2.2828E+10  3.2001E+11  2.5029E+10  2.0568E+07  1.3088E+10
  2.6959E+07  3.0610E+04  1.7355E+03  2.1865E+17  1.8610E+16  1.3982E+14  2.5461E+00  5.8697E+04  2.7381E+06  3.4390E+07  7.3847E+12  2.6388E+10  6.1176E+12  2.3310E+10  3.2296E+11  2.5249E+10  2.1940E+07  1.2936E+10
  2.6977E+07  3.0925E+04  1.7373E+03  2.2067E+17  1.8782E+16  1.4271E+14  2.6805E+00  6.1015E+04  2.8372E+06  3.5485E+07  7.4527E+12  2.7828E+10  6.1750E+12  2.3800E+10  3.2594E+11  2.5470E+10  2.3402E+07  1.2786E+10
  2.6996E+07  3.1243E+04  1.7391E+03  2.2270E+17  1.8955E+16  1.4565E+14  2.8216E+00  6.3419E+04  2.9397E+06  3.6614E+07  7.5215E+12  2.9346E+10  6.2329E+12  2.4300E+10  3.2895E+11  2.5693E+10  2.4958E+07  1.2638E+10
  2.7014E+07  3.1565E+04  1.7409E+03  2.2476E+17  1.9130E+16  1.4864E+14  2.9700E+00  6.5914E+04  3.0456E+06  3.7777E+07  7.5908E+12  3.0944E+10  6.2913E+12  2.4809E+10  3.3198E+11  2.5919E+10  2.6613E+07  1.2492E+10
  2.7032E+07  3.1889E+04  1.7428E+03  2.2683E+17  1.9307E+16  1.5169E+14  3.1258E+00  6.8503E+04  3.1551E+06  3.8975E+07  7.6609E+12  3.2627E+10  6.3503E+12  2.5328E+10  3.3504E+11  2.6146E+10  2.8374E+07  1.2348E+10
  2.7051E+07  3.2217E+04  1.7446E+03  2.2893E+17  1.9485E+16  1.5480E+14  3.2896E+00  7.1187E+04  3.2684E+06  4.0209E+07  7.7315E+12  3.4399E+10  6.4098E+12  2.5856E+10  3.3813E+11  2.6375E+10  3.0248E+07  1.2206E+10
  2.7069E+07  3.2549E+04  1.7464E+03  2.3104E+17  1.9665E+16  1.5797E+14  3.4616E+00  7.3972E+04  3.3855E+06  4.1480E+07  7.8028E+12  3.6264E+10  6.4699E+12  2.6394E+10  3.4125E+11  2.6606E+10  3.2240E+07  1.2066E+10
  2.7088E+07  3.2884E+04  1.7482E+03  2.3318E+17  1.9846E+16  1.6120E+14  3.6423E+00  7.6861E+04  3.5065E+06  4.2789E+07  7.8747E+12  3.8228E+10  6.5306E+12  2.6942E+10  3.4440E+11  2.6839E+10  3.4359E+07  1.1928E+10
  2.7106E+07  3.3222E+04  1.7500E+03  2.3533E+17  2.0030E+16  1.6448E+14  3.8320E+00  7.9856E+04  3.6316E+06  4.4138E+07  7.9474E+12  4.0294E+10  6.5918E+12  2.7500E+10  3.4757E+11  2.7073E+10  3.6611E+07  1.1791E+10
  2.7124E+07  3.3564E+04  1.7518E+03  2.3750E+17  2.0215E+16  1.6783E+14  4.0313E+00  8.2963E+04  3.7609E+06  4.5527E+07  8.0206E+12  4.2469E+10  6.6536E+12  2.8068E+10  3.5078E+11  2.7310E+10  3.9004E+07  1.1657E+10
  2.7143E+07  3.3909E+04  1.7536E+03  2.3969E+17  2.0401E+16  1.7125E+14  4.2406E+00  8.6184E+04  3.8945E+06  4.6957E+07  8.0946E+12  4.4758E+10  6.7160E+12  2.8646E+10  3.5401E+11  2.7549E+10  4.1547E+07  1.1524E+10
  2.7161E+07  3.4258E+04  1.7554E+03  2.4191E+17  2.0589E+16  1.7472E+14  4.4603E+00  8.9525E+04  4.0326E+06  4.8429E+07  8.1692E+12  4.7166E+10  6.7790E+12  2.9235E+10  3.5728E+11  2.7790E+10  4.4249E+07  1.1393E+10
  2.7180E+07  3.4610E+04  1.7573E+03  2.4414E+17  2.0780E+16  1.7826E+14  4.6910E+00  9.2988E+04  4.1753E+06  4.9946E+07  8.2446E+12  4.9699E+10  6.8425E+12  2.9835E+10  3.6057E+11  2.8032E+10  4.7119E+07  1.1263E+10
  2.7198E+07  3.4949E+04  1.7588E+03  2.4631E+17  2.0964E+16  1.8147E+14  4.9050E+00  9.6143E+04  4.3033E+06  5.1346E+07  8.3183E+12  5.2012E+10  6.8928E+12  3.0367E+10  3.6377E+11  2.8270E+10  4.9756E+07  1.1157E+10
  2.7216E+07  3.5289E+04  1.7604E+03  2.4848E+17  2.1149E+16  1.8468E+14  5.1244E+00  9.9335E+04  4.4319E+06  5.2757E+07  8.3911E+12  5.4371E+10  6.9525E+12  3.0895E+10  3.6698E+11  2.8508E+10  5.2467E+07  1.1055E+10
  2.7235E+07  3.5632E+04  1.7619E+03  2.5068E+17  2.1336E+16  1.8793E+14  5.3531E+00  1.0263E+05  4.5642E+06  5.4206E+07  8.4651E+12  5.6830E+10  7.0147E+12  3.1432E+10  3.7022E+11  2.8748E+10  5.5315E+07  1.0954E+10
  2.7253E+07  3.5979E+04  1.7635E+03  2.5290E+17  2.1525E+16  1.9124E+14  5.5917E+00  1.0603E+05  4.7002E+06  5.5693E+07  8.5399E+12  5.9395E+10  7.0777E+12  3.1977E+10  3.7349E+11  2.8990E+10  5.8310E+07  1.0855E+10
