 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           z           p          L0          L1          L2          L3         <a>       <vdr>b_TiO2[s]   b_Mg2SiO4[s]b_SiO2[s]   b_Fe[s]     b_Al2O3[s]  b_MgO[s]    b_MgSiO3[s] c_TiO2[s]   c_Mg2SiO4[s]c_SiO2[s]   c_Fe[s]     c_Al2O3[s]  c_MgO[s]    c_MgSiO3[s]     fcond_Mg    fcond_Si    fcond_Ti    fcond_O     fcond_Fe    fcond_Al      eps_Mg      eps_Si      eps_Ti      eps_O       eps_Fe      eps_Al    rhod/rho        rhod      chinet
  7.5342E+02  2.4119E-02  1.5759E-08  4.9699E-15  1.5673E-21  4.9428E-28  1.9564E-07  1.3008E+05  1.0000E+00  4.2400E-07  2.7077E-07  6.6568E-08  1.0195E-08  1.9138E-07  3.7574E-07  6.9661E-18  4.6192E-11  2.9498E-11  7.2519E-12  1.1107E-12  2.0850E-11  4.0934E-11  9.6236E-31  6.9877E-31  4.4927E-22  1.5615E-25  2.2436E-31  2.2829E-31  3.3884E-05  3.2359E-05  1.2073E-11  4.5693E-04  2.8184E-05  2.3442E-06  2.0908E-27  4.2300E+00  1.4584E-10
  1.5072E+03  2.4127E-02  3.1544E-08  9.9478E-15  3.1372E-21  9.8936E-28  1.9564E-07  1.3003E+05  1.0000E+00  8.4845E-07  5.4183E-07  1.3320E-07  2.0401E-08  3.8297E-07  7.5188E-07  6.9673E-18  4.6208E-11  2.9508E-11  7.2545E-12  1.1111E-12  2.0857E-11  4.0948E-11  3.8546E-30  2.7988E-30  8.9925E-22  3.1255E-25  8.9862E-31  9.1439E-31  3.3884E-05  3.2359E-05  1.2071E-11  4.5693E-04  2.8184E-05  2.3442E-06  4.1850E-27  4.2300E+00  1.4589E-10
  3.0148E+03  2.4144E-02  6.3165E-08  1.9920E-14  6.2822E-21  1.9812E-27  1.9564E-07  1.2994E+05  9.9999E-01  1.6981E-06  1.0844E-06  2.6659E-07  4.0830E-08  7.6646E-07  1.5048E-06  6.9697E-18  4.6241E-11  2.9529E-11  7.2596E-12  1.1118E-12  2.0872E-11  4.0977E-11  1.5448E-29  1.1217E-29  1.8007E-21  6.2587E-25  3.6014E-30  3.6646E-30  3.3884E-05  3.2359E-05  1.2067E-11  4.5693E-04  2.8184E-05  2.3442E-06  8.3804E-27  4.2300E+00  1.4599E-10
  6.0299E+03  2.4178E-02  1.2662E-07  3.9932E-14  1.2593E-20  3.9715E-27  1.9564E-07  1.2976E+05  9.9999E-01  3.4002E-06  2.1713E-06  5.3381E-07  8.1756E-08  1.5347E-06  3.0131E-06  6.9745E-18  4.6307E-11  2.9570E-11  7.2698E-12  1.1134E-12  2.0901E-11  4.1034E-11  6.2008E-29  4.5024E-29  3.6098E-21  1.2546E-24  1.4456E-29  1.4710E-29  3.3884E-05  3.2359E-05  1.2058E-11  4.5693E-04  2.8184E-05  2.3442E-06  1.6799E-26  4.2300E+00  1.4620E-10
  1.2060E+04  2.4246E-02  2.5439E-07  8.0226E-14  2.5301E-20  7.9791E-27  1.9564E-07  1.2940E+05  9.9998E-01  6.8161E-06  4.3525E-06  1.0701E-06  1.6388E-07  3.0765E-06  6.0399E-06  6.9840E-18  4.6438E-11  2.9653E-11  7.2902E-12  1.1165E-12  2.0960E-11  4.1149E-11  2.4973E-28  1.8133E-28  7.2522E-21  2.5206E-24  5.8218E-29  5.9240E-29  3.3884E-05  3.2359E-05  1.2041E-11  4.5693E-04  2.8184E-05  2.3442E-06  3.3751E-26  4.2300E+00  1.4661E-10
  2.4121E+04  2.4382E-02  5.1338E-07  1.6191E-13  5.1060E-20  1.6103E-26  1.9564E-07  1.2867E+05  9.9996E-01  1.3694E-05  8.7444E-06  2.1498E-06  3.2925E-07  6.1807E-06  1.2134E-05  7.0031E-18  4.6703E-11  2.9820E-11  7.3312E-12  1.1228E-12  2.1077E-11  4.1380E-11  1.0125E-27  7.3519E-28  1.4636E-20  5.0870E-24  2.3605E-28  2.4019E-28  3.3884E-05  3.2359E-05  1.2006E-11  4.5693E-04  2.8184E-05  2.3442E-06  6.8114E-26  4.2300E+00  1.4743E-10
  4.8242E+04  2.4656E-02  1.0455E-06  3.2972E-13  1.0399E-19  3.2794E-26  1.9564E-07  1.2724E+05  9.9991E-01  2.7640E-05  1.7647E-05  4.3385E-06  6.6447E-07  1.2473E-05  2.4488E-05  7.0415E-18  4.7237E-11  3.0155E-11  7.4138E-12  1.1355E-12  2.1315E-11  4.1846E-11  4.1617E-27  3.0217E-27  2.9805E-20  1.0360E-23  9.7015E-28  9.8720E-28  3.3884E-05  3.2359E-05  1.1937E-11  4.5693E-04  2.8184E-05  2.3442E-06  1.3872E-25  4.2299E+00  1.4910E-10
  9.6484E+04  2.5213E-02  2.1686E-06  6.8394E-13  2.1570E-19  6.8029E-26  1.9565E-07  1.2442E+05  9.9982E-01  5.6302E-05  3.5938E-05  8.8357E-06  1.3533E-06  2.5403E-05  4.9871E-05  7.1190E-18  4.8322E-11  3.0838E-11  7.5820E-12  1.1613E-12  2.1798E-11  4.2794E-11  1.7583E-26  1.2766E-26  6.1823E-20  2.1490E-23  4.0986E-27  4.1707E-27  3.3884E-05  3.2359E-05  1.1801E-11  4.5693E-04  2.8184E-05  2.3442E-06  2.8775E-25  4.2298E+00  1.5250E-10
  1.7010E+05  2.6088E-02  4.0450E-06  1.2758E-12  4.0239E-19  1.2691E-25  1.9566E-07  1.2024E+05  9.9968E-01  1.0210E-04  6.5150E-05  1.6018E-05  2.4534E-06  4.6053E-05  9.0408E-05  7.2394E-18  5.0027E-11  3.1910E-11  7.8460E-12  1.2018E-12  2.2557E-11  4.4281E-11  5.9475E-26  4.3179E-26  1.1532E-19  4.0090E-23  1.3862E-26  1.4106E-26  3.3884E-05  3.2359E-05  1.1597E-11  4.5693E-04  2.8184E-05  2.3442E-06  5.3681E-25  4.2297E+00  1.5782E-10
  2.4371E+05  2.6994E-02  6.1381E-06  1.9361E-12  6.1066E-19  1.9261E-25  1.9567E-07  1.1619E+05  9.9953E-01  1.5054E-04  9.6024E-05  2.3610E-05  3.6164E-06  6.7880E-05  1.3325E-04  7.3623E-18  5.1792E-11  3.3019E-11  8.1191E-12  1.2437E-12  2.3343E-11  4.5821E-11  1.3306E-25  9.6597E-26  1.7499E-19  6.0842E-23  3.1009E-26  3.1556E-26  3.3884E-05  3.2359E-05  1.1397E-11  4.5693E-04  2.8184E-05  2.3442E-06  8.1467E-25  4.2296E+00  1.6334E-10
