 
 Stellar Parameters:
 ==================
 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  OvershotPara =  2.20
  13 deep element abundances
           1 H    1.00000000000000     
           6 C   2.454708915685033E-004
           7 N   6.025595860743581E-005
           8 O   4.570881896148752E-004
          11 Na  1.479108388168207E-006
          12 Mg  3.388441561392028E-005
          13 Al  2.344228815319923E-006
          14 Si  3.235936569296281E-005
          16 S   1.380384264602884E-005
          19 K   1.202264434617413E-007
          20 Ca  2.041737944669527E-006
          22 Ti  7.943282347242822E-008
          26 Fe  2.818382931264455E-005
 
 Dust Parameters:
 ===============
 Nl =  1000  Vl =    3.136480E-20  Abschluss =  8
   1 nucleation species
 TiO2    
   7 dust species
 TiO2[s]   
 Mg2SiO4[s]
 SiO2[s]   
 Fe[s]     
 Al2O3[s]  
 MgO[s]    
 MgSiO3[s] 
   6 affected elements
          12 Mg
          14 Si
          22 Ti
           8 O 
          26 Fe
          13 Al
 
                   R                   T                 rho                   p                  L0                  L1                  L2                  L3     Vol%_TiO2[s]        Vol%_Mg2SiO4[s]     Vol%_SiO2[s]        Vol%_Fe[s]          Vol%_Al2O3[s]       Vol%_MgO[s]         Vol%_MgSiO3[s]               eps_Mg              eps_Si              eps_Ti              eps_O               eps_Fe              eps_Al
  2.058731724658E+10  1.030580133524E+03  6.543452202034E-13  2.411889240240E-02  1.575910379431E-08  4.969879808824E-15  1.567329312412E-21  4.942818072134E-28  9.999986613354E-01  4.240036549681E-07  2.707710820091E-07  6.656753130687E-08  1.019507032914E-08  1.913841977062E-07  3.757430729820E-07  3.388441546880E-05  3.235936559233E-05  1.207304672541E-11  4.569293477641E-04  2.818382928450E-05  2.344228812938E-06
  2.058731649279E+10  1.030580267113E+03  6.545745326507E-13  2.412732086244E-02  3.154355191191E-08  9.947756789877E-15  3.137182059487E-21  9.893598609460E-28  9.999973212649E-01  8.484545822050E-07  5.418258560292E-07  1.332048636904E-07  2.040083782564E-08  3.829690718522E-07  7.518798622216E-07  3.388441532356E-05  3.235936549162E-05  1.207087419143E-11  4.569293474095E-04  2.818382925634E-05  2.344228810555E-06
  2.058731498522E+10  1.030580534290E+03  6.550333986582E-13  2.414418661966E-02  6.316547717506E-08  1.992024766404E-14  6.282170019821E-21  1.981183207333E-27  9.999946388660E-01  1.698077604366E-06  1.084390121328E-06  2.665914893949E-07  4.082954069496E-08  7.664606991226E-07  1.504784571386E-06  3.388441503296E-05  3.235936529012E-05  1.206653053542E-11  4.569293467000E-04  2.818382919999E-05  2.344228805785E-06
  2.058731197007E+10  1.030581068646E+03  6.559520959121E-13  2.417795351138E-02  1.266219983562E-07  3.993235226009E-14  1.259333115671E-20  3.971516343176E-27  9.999892650233E-01  3.400212393723E-06  2.171340071241E-06  5.338132130434E-07  8.175571437906E-08  1.534733276353E-06  3.013122053036E-06  3.388441445126E-05  3.235936488676E-05  1.205784886817E-11  4.569293452799E-04  2.818382908720E-05  2.344228796239E-06
  2.058730593978E+10  1.030582137357E+03  6.577933577011E-13  2.424562903513E-02  2.543901758682E-07  8.022646033716E-14  2.530083897318E-20  7.979068876616E-27  9.999784810570E-01  6.816069603142E-06  4.352546085434E-06  1.070055585816E-06  1.638839063731E-07  3.076450200521E-06  6.039937642709E-06  3.388441328584E-05  3.235936407865E-05  1.204050808815E-11  4.569293424349E-04  2.818382886122E-05  2.344228777113E-06
  2.058729387919E+10  1.030584274780E+03  6.614914010885E-13  2.438154889625E-02  5.133830263238E-07  1.619056270981E-13  5.106018458330E-20  1.610285242767E-26  9.999567671559E-01  1.369440556542E-05  8.744352298776E-06  2.149777858293E-06  3.292500865195E-07  6.180691366173E-06  1.213436695962E-05  3.388441094677E-05  3.235936245675E-05  1.200591654969E-11  4.569293367253E-04  2.818382840769E-05  2.344228738726E-06
  2.058726975801E+10  1.030588549625E+03  6.689499747469E-13  2.465567877113E-02  1.045487092978E-06  3.297201466393E-13  1.039853823448E-19  3.279435543934E-26  9.999127490376E-01  2.763963140100E-05  1.764683522569E-05  4.338491360437E-06  6.644705601955E-07  1.247331959060E-05  2.448821431097E-05  3.388440623498E-05  3.235935918976E-05  1.193709199473E-11  4.569293252259E-04  2.818382749417E-05  2.344228661407E-06
  2.058722151565E+10  1.030597099316E+03  6.841203652901E-13  2.521321957480E-02  2.168588127856E-06  6.839383865846E-13  2.157033466316E-19  6.802942280260E-26  9.998222972790E-01  5.630170803772E-05  3.593818163914E-05  8.835679989442E-06  1.353276087605E-06  2.540288070929E-05  4.987099456670E-05  3.388439667036E-05  3.235935255847E-05  1.180086454973E-11  4.569293018909E-04  2.818382564010E-05  2.344228504470E-06
  2.058714790365E+10  1.030610145108E+03  7.079341558592E-13  2.608835161158E-02  4.045030369601E-06  1.275800008056E-12  4.023865204619E-19  1.269124558904E-25  9.996778154255E-01  1.021016170603E-04  6.514989258788E-05  1.601828252372E-05  2.453447918708E-06  4.605305404738E-05  9.040828038969E-05  3.388438168404E-05  3.235934216952E-05  1.159659639032E-11  4.569292653493E-04  2.818382273583E-05  2.344228258621E-06
  2.058707429165E+10  1.030623190901E+03  7.325768891847E-13  2.699385882832E-02  6.138101887270E-06  1.936052046258E-12  6.106606887048E-19  1.926118104156E-25  9.995250778855E-01  1.505397539523E-04  9.602359393967E-05  2.361014643094E-05  3.616380684490E-06  6.787981479155E-05  1.332524246630E-04  3.388436617466E-05  3.235933141952E-05  1.139658926746E-11  4.569292275584E-04  2.818381973112E-05  2.344228004247E-06
