 !
 ! MARCS output file to be read in by DRIFT
 !
 !
 ! Model parameters: Teff, logg, mixing, overshoot:
    3100.000        4.500        2.000        2.200
 !
 ! Number of atmosphere layers:
   48
 !
 ! Number of elements in abundances table:
   48
 !
 ! Z of the considered elements:
    1     2     3     4     5     6     7     8
    9    10    11    12    13    14    15    16
   17    18    19    20    22    23    24    25
   26    27    28    29    30    31    35    36
   37    38    40    41    42    53    54    55
   56    72    73    74    80    82    92    02
 !
 !  #        Rad [cm]        Temp [K] Pgas [dyn cm-2]     Ro [g cm-3]      g [cm s-2] v_conv [cm s-1]  Flag        mu [amu]
   37  0.20567461E+11  0.35808169E+04  0.71306662E+06  0.41025097E-05  0.31596718E+05  0.34434972E+05     T  0.16999988E+01
   38  0.20565924E+11  0.36523031E+04  0.87232129E+06  0.48645712E-05  0.31599079E+05  0.33946394E+05     T  0.16806625E+01
   39  0.20564397E+11  0.37243965E+04  0.10618539E+07  0.57428160E-05  0.31601426E+05  0.33166514E+05     T  0.16621073E+01
   40  0.20562877E+11  0.37970375E+04  0.12859208E+07  0.67486286E-05  0.31603761E+05  0.32209395E+05     T  0.16443164E+01
   41  0.20561362E+11  0.38702099E+04  0.15491588E+07  0.78937382E-05  0.31606089E+05  0.31165528E+05     T  0.16272542E+01
   42  0.20559850E+11  0.39439326E+04  0.18566428E+07  0.91903811E-05  0.31608414E+05  0.30091532E+05     T  0.16108776E+01
   43  0.20558336E+11  0.40182963E+04  0.22141620E+07  0.10652300E-04  0.31610741E+05  0.29021980E+05     T  0.15951319E+01
   44  0.20556816E+11  0.40935044E+04  0.26287069E+07  0.12296368E-04  0.31613079E+05  0.27980420E+05     T  0.15799471E+01
   45  0.20555284E+11  0.41696873E+04  0.31077056E+07  0.14139155E-04  0.31615435E+05  0.26982912E+05     T  0.15652766E+01
   46  0.20553730E+11  0.42469237E+04  0.36589635E+07  0.16196657E-04  0.31617825E+05  0.26037414E+05     T  0.15510898E+01
   47  0.20552144E+11  0.43253818E+04  0.42916764E+07  0.18487900E-04  0.31620265E+05  0.25145292E+05     T  0.15373449E+01
   48  0.20550512E+11  0.44052910E+04  0.50166263E+07  0.21035064E-04  0.31622777E+05  0.24139943E+05     T  0.15239974E+01
 !
 ! Initial Element abundances for each Z:
 12.00 10.93  1.05  1.38  2.70  8.39  7.78  8.66
  4.56  7.84  6.17  7.53  6.37  7.51  5.36  7.14
  5.50  6.18  5.08  6.31  4.90  4.00  5.64  5.39
  7.45  4.92  6.23  4.21  4.60  2.88  2.56  3.25
  2.60  2.92  2.58  1.42  1.92  1.51  2.24  1.12
  2.17  0.88  0.13  1.11  1.09  2.00 -0.47
