 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           z           T        n<H>         rho           p        wmix        tau n_H         n_Mg        n_Fe        n_Al        n_Ti        n_TIO       n_TIO2      n_TIS       n_SIO       n_SIO2      n_SIS       n_H2O       n_H2        n_H2S       n_MGO       n_MGOH      n_MG(OH)2   n_FEO       n_FES       n_FE(OH)2   n_ALOH      n_ALH       n_AL2O      n_ALS       n_ALO2H              pel
  9.6660E+06  1.0357E+03  4.0576E+13  9.1885E-11  3.3979E+00  4.1444E-15  0.0000E+00  6.7191E+07  1.0335E+09  1.0653E+09  2.6506E+04  2.8234E-05  7.2503E+00  8.7107E+01  5.8863E-02  9.2103E+08  6.8390E+01  1.4980E+08  6.7495E+09  2.0281E+13  4.0758E+08  3.4760E+01  2.2984E+06  1.9985E+02  9.0072E+01  2.5494E+04  5.1941E+02  4.7911E+07  5.1998E+02  2.0085E+07  5.7713E+04  3.2355E+05  7.8623E-11
  9.7397E+06  1.0360E+03  4.2217E+13  9.5601E-11  3.5365E+00  4.5252E-15  0.0000E+00  6.9066E+07  1.0437E+09  1.0995E+09  2.7289E+04  3.0189E-05  7.6423E+00  9.0705E+01  6.2838E-02  9.3646E+08  6.9077E+01  1.5413E+08  6.9651E+09  2.1101E+13  4.2583E+08  3.4942E+01  2.3386E+06  2.0500E+02  9.2453E+01  2.6402E+04  5.4407E+02  4.9446E+07  5.4483E+02  2.0724E+07  5.9451E+04  3.3085E+05  8.0837E-11
  9.8133E+06  1.0364E+03  4.3925E+13  9.9468E-11  3.6806E+00  4.9411E-15  0.0000E+00  7.0993E+07  1.0516E+09  1.1338E+09  2.8088E+04  3.2313E-05  8.0599E+00  9.4458E+01  6.7171E-02  9.5043E+08  6.9611E+01  1.5843E+08  7.1841E+09  2.1955E+13  4.4503E+08  3.5026E+01  2.3727E+06  2.0959E+02  9.4775E+01  2.7329E+04  5.6888E+02  5.0993E+07  5.7075E+02  2.1364E+07  6.1246E+04  3.3790E+05  8.3114E-11
  9.8869E+06  1.0368E+03  4.5525E+13  1.0309E-10  3.8160E+00  5.3496E-15  0.0000E+00  7.3033E+07  1.0514E+09  1.1633E+09  2.8942E+04  3.4761E-05  8.5176E+00  9.8344E+01  7.2052E-02  9.5812E+08  6.9658E+01  1.6193E+08  7.3751E+09  2.2754E+13  4.6353E+08  3.4858E+01  2.3789E+06  2.1091E+02  9.6677E+01  2.8152E+04  5.8677E+02  5.2329E+07  5.9690E+02  2.1907E+07  6.3115E+04  3.4298E+05  8.5531E-11
  9.9605E+06  1.0372E+03  4.7158E+13  1.0679E-10  3.9542E+00  5.7853E-15  0.0000E+00  7.5138E+07  1.0482E+09  1.1918E+09  2.9818E+04  3.7442E-05  9.0065E+00  1.0239E+02  7.7388E-02  9.6363E+08  6.9520E+01  1.6524E+08  7.5642E+09  2.3571E+13  4.8269E+08  3.4583E+01  2.3762E+06  2.1126E+02  9.8452E+01  2.8966E+04  6.0334E+02  5.3632E+07  6.2394E+02  2.2427E+07  6.5039E+04  3.4754E+05  8.8029E-11
  1.0034E+07  1.0377E+03  4.8850E+13  1.1062E-10  4.0975E+00  6.2564E-15  0.0000E+00  7.7304E+07  1.0428E+09  1.2201E+09  3.0708E+04  4.0356E-05  9.5266E+00  1.0660E+02  8.3194E-02  9.6759E+08  6.9247E+01  1.6844E+08  7.7556E+09  2.4416E+13  5.0276E+08  3.4226E+01  2.3676E+06  2.1103E+02  1.0014E+02  2.9787E+04  6.1945E+02  5.4929E+07  6.5194E+02  2.2936E+07  6.7012E+04  3.5181E+05  9.0598E-11
  1.0108E+07  1.0381E+03  5.0602E+13  1.1459E-10  4.2459E+00  6.7659E-15  0.0000E+00  7.9531E+07  1.0352E+09  1.2479E+09  3.1610E+04  4.3522E-05  1.0080E+01  1.1099E+02  8.9509E-02  9.6999E+08  6.8844E+01  1.7151E+08  7.9496E+09  2.5292E+13  5.2379E+08  3.3791E+01  2.3535E+06  2.1023E+02  1.0174E+02  3.0610E+04  6.3508E+02  5.6218E+07  6.8090E+02  2.3429E+07  6.9032E+04  3.5577E+05  9.3242E-11
  1.0181E+07  1.0386E+03  5.2417E+13  1.1870E-10  4.3997E+00  7.3170E-15  0.0000E+00  8.1822E+07  1.0256E+09  1.2751E+09  3.2523E+04  4.6958E-05  1.0668E+01  1.1556E+02  9.6372E-02  9.7085E+08  6.8318E+01  1.7444E+08  8.1466E+09  2.6200E+13  5.4583E+08  3.3284E+01  2.3340E+06  2.0891E+02  1.0325E+02  3.1435E+04  6.5021E+02  5.7496E+07  7.1080E+02  2.3904E+07  7.1094E+04  3.5944E+05  9.5962E-11
  1.0255E+07  1.0390E+03  5.4298E+13  1.2296E-10  4.5591E+00  7.9129E-15  0.0000E+00  8.4178E+07  1.0139E+09  1.3018E+09  3.3445E+04  5.0686E-05  1.1292E+01  1.2032E+02  1.0383E-01  9.7018E+08  6.7676E+01  1.7722E+08  8.3468E+09  2.7140E+13  5.6892E+08  3.2711E+01  2.3095E+06  2.0709E+02  1.0465E+02  3.2259E+04  6.6481E+02  5.8759E+07  7.4161E+02  2.4358E+07  7.3194E+04  3.6281E+05  9.8761E-11
  1.0329E+07  1.0394E+03  5.6246E+13  1.2737E-10  4.7243E+00  8.5573E-15  0.0000E+00  8.6601E+07  1.0004E+09  1.3276E+09  3.4371E+04  5.4726E-05  1.1955E+01  1.2528E+02  1.1191E-01  9.6802E+08  6.6926E+01  1.7983E+08  8.5506E+09  2.8114E+13  5.9311E+08  3.2079E+01  2.2803E+06  2.0482E+02  1.0596E+02  3.3078E+04  6.7888E+02  6.0006E+07  7.7329E+02  2.4787E+07  7.5326E+04  3.6588E+05  1.0164E-10
  1.0402E+07  1.0399E+03  5.8264E+13  1.3194E-10  4.8955E+00  9.2542E-15  0.0000E+00  8.9093E+07  9.8513E+08  1.3526E+09  3.5300E+04  5.9102E-05  1.2659E+01  1.3045E+02  1.2068E-01  9.6442E+08  6.6079E+01  1.8225E+08  8.7584E+09  2.9122E+13  6.1844E+08  3.1394E+01  2.2469E+06  2.0213E+02  1.0716E+02  3.3890E+04  6.9239E+02  6.1233E+07  8.0579E+02  2.5189E+07  7.7484E+04  3.6866E+05  1.0460E-10
  1.0476E+07  1.0403E+03  6.0354E+13  1.3667E-10  5.0728E+00  1.0008E-14  0.0000E+00  9.1656E+07  9.6828E+08  1.3767E+09  3.6228E+04  6.3837E-05  1.3405E+01  1.3583E+02  1.3018E-01  9.5943E+08  6.5142E+01  1.8448E+08  8.9707E+09  3.0167E+13  6.4495E+08  3.0664E+01  2.2097E+06  1.9908E+02  1.0826E+02  3.4692E+04  7.0534E+02  6.2437E+07  8.3907E+02  2.5560E+07  7.9661E+04  3.7116E+05  1.0765E-10
  1.0549E+07  1.0408E+03  6.2519E+13  1.4157E-10  5.2566E+00  1.0823E-14  0.0000E+00  9.4292E+07  9.4998E+08  1.3996E+09  3.7153E+04  6.8954E-05  1.4195E+01  1.4144E+02  1.4045E-01  9.5310E+08  6.4126E+01  1.8651E+08  9.1880E+09  3.1250E+13  6.7271E+08  2.9896E+01  2.1692E+06  1.9572E+02  1.0924E+02  3.5479E+04  7.1774E+02  6.3616E+07  8.7306E+02  2.5896E+07  8.1849E+04  3.7337E+05  1.1079E-10
  1.0623E+07  1.0412E+03  6.4656E+13  1.4641E-10  5.4383E+00  1.1663E-14  0.0000E+00  9.6953E+07  9.2785E+08  1.4185E+09  3.8048E+04  7.4467E-05  1.5023E+01  1.4713E+02  1.5151E-01  9.4316E+08  6.2873E+01  1.8791E+08  9.3931E+09  3.2318E+13  7.0069E+08  2.9014E+01  2.1173E+06  1.9109E+02  1.0988E+02  3.6179E+04  7.2633E+02  6.4637E+07  9.0634E+02  2.6139E+07  8.3990E+04  3.7446E+05  1.1395E-10
  1.0697E+07  1.0417E+03  6.6571E+13  1.5075E-10  5.6021E+00  1.2450E-14  0.0000E+00  9.9552E+07  8.9857E+08  1.4283E+09  3.8871E+04  8.0348E-05  1.5867E+01  1.5263E+02  1.6326E-01  9.2625E+08  6.1163E+01  1.8802E+08  9.5568E+09  3.3275E+13  7.2691E+08  2.7920E+01  2.0429E+06  1.8389E+02  1.0980E+02  3.6667E+04  7.2587E+02  6.5282E+07  9.3633E+02  2.6196E+07  8.5980E+04  3.7313E+05  1.1706E-10
  1.0770E+07  1.0422E+03  6.8543E+13  1.5522E-10  5.7707E+00  1.3289E-14  0.0000E+00  1.0222E+08  8.6971E+08  1.4371E+09  3.9677E+04  8.6635E-05  1.6754E+01  1.5833E+02  1.7579E-01  9.0918E+08  5.9490E+01  1.8797E+08  9.7266E+09  3.4261E+13  7.5407E+08  2.6861E+01  1.9707E+06  1.7698E+02  1.0966E+02  3.7128E+04  7.2528E+02  6.5900E+07  9.6649E+02  2.6217E+07  8.7939E+04  3.7174E+05  1.2024E-10
  1.0844E+07  1.0427E+03  7.0574E+13  1.5981E-10  5.9445E+00  1.4186E-14  0.0000E+00  1.0496E+08  8.4138E+08  1.4446E+09  4.0466E+04  9.3348E-05  1.7684E+01  1.6425E+02  1.8913E-01  8.9204E+08  5.7858E+01  1.8776E+08  9.9029E+09  3.5276E+13  7.8219E+08  2.5838E+01  1.9008E+06  1.7037E+02  1.0947E+02  3.7562E+04  7.2460E+02  6.6491E+07  9.9675E+02  2.6202E+07  8.9858E+04  3.7029E+05  1.2351E-10
  1.0917E+07  1.0432E+03  7.2664E+13  1.6455E-10  6.1235E+00  1.5142E-14  0.0000E+00  1.0777E+08  8.1367E+08  1.4511E+09  4.1234E+04  1.0051E-04  1.8659E+01  1.7039E+02  2.0333E-01  8.7489E+08  5.6268E+01  1.8740E+08  1.0086E+10  3.6321E+13  8.1130E+08  2.4854E+01  1.8334E+06  1.6406E+02  1.0923E+02  3.7967E+04  7.2386E+02  6.7052E+07  1.0271E+03  2.6152E+07  9.1733E+04  3.6879E+05  1.2687E-10
  1.0991E+07  1.0437E+03  7.4817E+13  1.6942E-10  6.3079E+00  1.6164E-14  0.0000E+00  1.1065E+08  7.8662E+08  1.4564E+09  4.1980E+04  1.0814E-04  1.9680E+01  1.7675E+02  2.1841E-01  8.5778E+08  5.4723E+01  1.8689E+08  1.0276E+10  3.7397E+13  8.4140E+08  2.3908E+01  1.7685E+06  1.5806E+02  1.0894E+02  3.8341E+04  7.2307E+02  6.7585E+07  1.0574E+03  2.6066E+07  9.3556E+04  3.6725E+05  1.3031E-10
  1.1065E+07  1.0442E+03  7.7033E+13  1.7444E-10  6.4978E+00  1.7254E-14  0.0000E+00  1.1361E+08  7.6027E+08  1.4605E+09  4.2702E+04  1.1626E-04  2.0750E+01  1.8336E+02  2.3442E-01  8.4073E+08  5.3223E+01  1.8623E+08  1.0473E+10  3.8505E+13  8.7253E+08  2.3000E+01  1.7060E+06  1.5234E+02  1.0860E+02  3.8684E+04  7.2222E+02  6.8088E+07  1.0877E+03  2.5946E+07  9.5322E+04  3.6567E+05  1.3385E-10
  1.1138E+07  1.0446E+03  7.9315E+13  1.7961E-10  6.6935E+00  1.8417E-14  0.0000E+00  1.1665E+08  7.3465E+08  1.4635E+09  4.3398E+04  1.2490E-04  2.1869E+01  1.9021E+02  2.5138E-01  8.2379E+08  5.1767E+01  1.8543E+08  1.0679E+10  3.9646E+13  9.0470E+08  2.2130E+01  1.6460E+06  1.4691E+02  1.0822E+02  3.8995E+04  7.2133E+02  6.8560E+07  1.1178E+03  2.5790E+07  9.7025E+04  3.6404E+05  1.3749E-10
  1.1212E+07  1.0451E+03  8.1665E+13  1.8493E-10  6.8950E+00  1.9659E-14  0.0000E+00  1.1976E+08  7.0977E+08  1.4653E+09  4.4067E+04  1.3409E-04  2.3041E+01  1.9731E+02  2.6935E-01  8.0696E+08  5.0356E+01  1.8450E+08  1.0892E+10  4.0821E+13  9.3794E+08  2.1297E+01  1.5884E+06  1.4174E+02  1.0779E+02  3.9271E+04  7.2039E+02  6.9000E+07  1.1478E+03  2.5600E+07  9.8659E+04  3.6236E+05  1.4122E-10
  1.1286E+07  1.0456E+03  8.4084E+13  1.9041E-10  7.1027E+00  2.0985E-14  0.0000E+00  1.2296E+08  6.8563E+08  1.4660E+09  4.4707E+04  1.4385E-04  2.4267E+01  2.0469E+02  2.8835E-01  7.9028E+08  4.8987E+01  1.8344E+08  1.1113E+10  4.2030E+13  9.7227E+08  2.0499E+01  1.5331E+06  1.3684E+02  1.0731E+02  3.9513E+04  7.1940E+02  6.9406E+07  1.1776E+03  2.5376E+07  1.0022E+05  3.6063E+05  1.4505E-10
  1.1359E+07  1.0461E+03  8.6575E+13  1.9605E-10  7.3165E+00  2.2401E-14  0.0000E+00  1.2625E+08  6.6223E+08  1.4655E+09  4.5316E+04  1.5421E-04  2.5549E+01  2.1233E+02  3.0844E-01  7.7374E+08  4.7659E+01  1.8224E+08  1.1342E+10  4.3275E+13  1.0077E+09  1.9735E+01  1.4801E+06  1.3218E+02  1.0679E+02  3.9720E+04  7.1834E+02  6.9779E+07  1.2071E+03  2.5120E+07  1.0170E+05  3.5884E+05  1.4898E-10
  1.1433E+07  1.0466E+03  8.9140E+13  2.0186E-10  7.5368E+00  2.3912E-14  0.0000E+00  1.2962E+08  6.3958E+08  1.4639E+09  4.5892E+04  1.6520E-04  2.6889E+01  2.2026E+02  3.2966E-01  7.5737E+08  4.6372E+01  1.8093E+08  1.1580E+10  4.4557E+13  1.0443E+09  1.9005E+01  1.4293E+06  1.2776E+02  1.0622E+02  3.9891E+04  7.1722E+02  7.0116E+07  1.2362E+03  2.4830E+07  1.0310E+05  3.5699E+05  1.5302E-10
  1.1506E+07  1.0471E+03  9.1668E+13  2.0758E-10  7.7543E+00  2.5456E-14  0.0000E+00  1.3297E+08  6.1611E+08  1.4584E+09  4.6381E+04  1.7666E-04  2.8259E+01  2.2822E+02  3.5174E-01  7.3950E+08  4.5014E+01  1.7914E+08  1.1811E+10  4.5821E+13  1.0808E+09  1.8255E+01  1.3762E+06  1.2308E+02  1.0539E+02  3.9956E+04  7.1372E+02  7.0294E+07  1.2627E+03  2.4459E+07  1.0431E+05  3.5441E+05  1.5704E-10
  1.1580E+07  1.0475E+03  9.3698E+13  2.1218E-10  7.9296E+00  2.6739E-14  0.0000E+00  1.3588E+08  5.8680E+08  1.4391E+09  4.6572E+04  1.8769E-04  2.9516E+01  2.3505E+02  3.7322E-01  7.1450E+08  4.3218E+01  1.7563E+08  1.1970E+10  4.6836E+13  1.1122E+09  1.7326E+01  1.3064E+06  1.1656E+02  1.0351E+02  3.9657E+04  6.9949E+02  6.9856E+07  1.2779E+03  2.3825E+07  1.0492E+05  3.4872E+05  1.6053E-10
  1.1654E+07  1.0480E+03  9.5772E+13  2.1688E-10  8.1090E+00  2.8088E-14  0.0000E+00  1.3885E+08  5.5980E+08  1.4200E+09  4.6738E+04  1.9917E-04  3.0812E+01  2.4208E+02  3.9541E-01  6.9109E+08  4.1562E+01  1.7221E+08  1.2138E+10  4.7873E+13  1.1442E+09  1.6480E+01  1.2429E+06  1.1069E+02  1.0171E+02  3.9343E+04  6.8629E+02  6.9423E+07  1.2925E+03  2.3196E+07  1.0544E+05  3.4332E+05  1.6411E-10
  1.1727E+07  1.0484E+03  9.7892E+13  2.2168E-10  8.2924E+00  2.9504E-14  0.0000E+00  1.4189E+08  5.3488E+08  1.4011E+09  4.6879E+04  2.1113E-04  3.2147E+01  2.4932E+02  4.1836E-01  6.6912E+08  4.0031E+01  1.6890E+08  1.2315E+10  4.8933E+13  1.1766E+09  1.5708E+01  1.1849E+06  1.0539E+02  9.9994E+01  3.9018E+04  6.7400E+02  6.8993E+07  1.3067E+03  2.2572E+07  1.0588E+05  3.3818E+05  1.6776E-10
  1.1801E+07  1.0489E+03  1.0006E+14  2.2658E-10  8.4799E+00  3.0992E-14  0.0000E+00  1.4499E+08  5.1182E+08  1.3823E+09  4.6998E+04  2.2360E-04  3.3524E+01  2.5678E+02  4.4208E-01  6.4847E+08  3.8610E+01  1.6567E+08  1.2500E+10  5.0016E+13  1.2096E+09  1.5001E+01  1.1318E+06  1.0059E+02  9.8346E+01  3.8681E+04  6.6253E+02  6.8565E+07  1.3203E+03  2.1954E+07  1.0624E+05  3.3327E+05  1.7148E-10
  1.1874E+07  1.0493E+03  1.0227E+14  2.3160E-10  8.6717E+00  3.2555E-14  0.0000E+00  1.4816E+08  4.9043E+08  1.3638E+09  4.7096E+04  2.3659E-04  3.4944E+01  2.6446E+02  4.6660E-01  6.2899E+08  3.7289E+01  1.6253E+08  1.2693E+10  5.1123E+13  1.2432E+09  1.4352E+01  1.0831E+06  9.6217E+01  9.6760E+01  3.8335E+04  6.5179E+02  6.8139E+07  1.3335E+03  2.1343E+07  1.0651E+05  3.2857E+05  1.7530E-10
  1.1948E+07  1.0498E+03  1.0454E+14  2.3673E-10  8.8678E+00  3.4197E-14  0.0000E+00  1.5140E+08  4.7053E+08  1.3454E+09  4.7173E+04  2.5014E-04  3.6410E+01  2.7236E+02  4.9195E-01  6.1060E+08  3.6056E+01  1.5947E+08  1.2895E+10  5.2255E+13  1.2774E+09  1.3753E+01  1.0382E+06  9.2231E+01  9.5232E+01  3.7979E+04  6.4170E+02  6.7712E+07  1.3462E+03  2.0739E+07  1.0671E+05  3.2405E+05  1.7919E-10
  1.2022E+07  1.0502E+03  1.0685E+14  2.4197E-10  9.0684E+00  3.5921E-14  0.0000E+00  1.5470E+08  4.5198E+08  1.3271E+09  4.7229E+04  2.6426E-04  3.7923E+01  2.8050E+02  5.1817E-01  5.9318E+08  3.4902E+01  1.5649E+08  1.3104E+10  5.3412E+13  1.3122E+09  1.3201E+01  9.9673E+05  8.8580E+01  9.3756E+01  3.7615E+04  6.3219E+02  6.7285E+07  1.3584E+03  2.0143E+07  1.0685E+05  3.1970E+05  1.8317E-10
  1.2095E+07  1.0506E+03  1.0922E+14  2.4733E-10  9.2734E+00  3.7733E-14  0.0000E+00  1.5808E+08  4.3464E+08  1.3090E+09  4.7267E+04  2.7899E-04  3.9485E+01  2.8888E+02  5.4529E-01  5.7665E+08  3.3820E+01  1.5359E+08  1.3322E+10  5.4595E+13  1.3476E+09  1.2688E+01  9.5830E+05  8.5226E+01  9.2327E+01  3.7243E+04  6.2321E+02  6.6856E+07  1.3702E+03  1.9554E+07  1.0691E+05  3.1549E+05  1.8723E-10
  1.2169E+07  1.0511E+03  1.1164E+14  2.5280E-10  9.4832E+00  3.9636E-14  0.0000E+00  1.6153E+08  4.1840E+08  1.2911E+09  4.7285E+04  2.9435E-04  4.1098E+01  2.9751E+02  5.7334E-01  5.6093E+08  3.2801E+01  1.5075E+08  1.3547E+10  5.5803E+13  1.3837E+09  1.2212E+01  9.2259E+05  8.2136E+01  9.0941E+01  3.6864E+04  6.1469E+02  6.6424E+07  1.3816E+03  1.8974E+07  1.0690E+05  3.1140E+05  1.9139E-10
  1.2242E+07  1.0515E+03  1.1411E+14  2.5840E-10  9.6976E+00  4.1635E-14  0.0000E+00  1.6505E+08  4.0371E+08  1.2733E+09  4.7280E+04  3.1029E-04  4.2759E+01  3.0640E+02  6.0213E-01  5.4680E+08  3.1894E+01  1.4817E+08  1.3781E+10  5.7039E+13  1.4203E+09  1.1787E+01  8.9067E+05  7.9410E+01  8.9604E+01  3.6474E+04  6.0674E+02  6.5990E+07  1.3923E+03  1.8401E+07  1.0681E+05  3.0748E+05  1.9563E-10
  1.2316E+07  1.0520E+03  1.1663E+14  2.6412E-10  9.9170E+00  4.3735E-14  0.0000E+00  1.6864E+08  3.9028E+08  1.2556E+09  4.7254E+04  3.2687E-04  4.4471E+01  3.1554E+02  6.3174E-01  5.3391E+08  3.1075E+01  1.4578E+08  1.4025E+10  5.8302E+13  1.4574E+09  1.1401E+01  8.6182E+05  7.6975E+01  8.8311E+01  3.6075E+04  5.9927E+02  6.5554E+07  1.4026E+03  1.7836E+07  1.0664E+05  3.0368E+05  1.9997E-10
  1.2390E+07  1.0524E+03  1.1922E+14  2.6996E-10  1.0141E+01  4.5940E-14  0.0000E+00  1.7232E+08  3.7760E+08  1.2381E+09  4.7211E+04  3.4417E-04  4.6241E+01  3.2496E+02  6.6240E-01  5.2155E+08  3.0296E+01  1.4344E+08  1.4276E+10  5.9592E+13  1.4952E+09  1.1040E+01  8.3474E+05  7.4708E+01  8.7047E+01  3.5671E+04  5.9211E+02  6.5112E+07  1.4124E+03  1.7280E+07  1.0642E+05  2.9996E+05  2.0440E-10
  1.2463E+07  1.0529E+03  1.2186E+14  2.7594E-10  1.0371E+01  4.8257E-14  0.0000E+00  1.7607E+08  3.6559E+08  1.2207E+09  4.7151E+04  3.6224E-04  4.8071E+01  3.3466E+02  6.9414E-01  5.0967E+08  2.9553E+01  1.4114E+08  1.4534E+10  6.0912E+13  1.5338E+09  1.0700E+01  8.0926E+05  7.2590E+01  8.5811E+01  3.5262E+04  5.8522E+02  6.4664E+07  1.4217E+03  1.6734E+07  1.0614E+05  2.9631E+05  2.0893E-10
  1.2537E+07  1.0533E+03  1.2455E+14  2.8205E-10  1.0605E+01  5.0691E-14  0.0000E+00  1.7990E+08  3.5420E+08  1.2034E+09  4.7075E+04  3.8109E-04  4.9963E+01  3.4465E+02  7.2702E-01  4.9822E+08  2.8844E+01  1.3887E+08  1.4801E+10  6.2260E+13  1.5732E+09  1.0379E+01  7.8523E+05  7.0607E+01  8.4598E+01  3.4850E+04  5.7858E+02  6.4210E+07  1.4307E+03  1.6197E+07  1.0582E+05  2.9271E+05  2.1356E-10
  1.2611E+07  1.0538E+03  1.2731E+14  2.8829E-10  1.0845E+01  5.3247E-14  0.0000E+00  1.8382E+08  3.4338E+08  1.1863E+09  4.6982E+04  4.0078E-04  5.1920E+01  3.5493E+02  7.6106E-01  4.8717E+08  2.8165E+01  1.3664E+08  1.5074E+10  6.3638E+13  1.6133E+09  1.0075E+01  7.6253E+05  6.8745E+01  8.3408E+01  3.4434E+04  5.7215E+02  6.3748E+07  1.4391E+03  1.5668E+07  1.0544E+05  2.8916E+05  2.1828E-10
  1.2684E+07  1.0541E+03  1.2912E+14  2.9239E-10  1.1003E+01  5.4965E-14  0.0000E+00  1.8654E+08  3.2765E+08  1.1531E+09  4.6325E+04  4.1615E-04  5.3375E+01  3.6201E+02  7.8863E-01  4.6935E+08  2.7071E+01  1.3258E+08  1.5228E+10  6.4543E+13  1.6423E+09  9.6100E+00  7.2688E+05  6.5510E+01  8.0980E+01  3.3572E+04  5.5501E+02  6.2481E+07  1.4259E+03  1.4896E+07  1.0397E+05  2.8200E+05  2.2157E-10
  1.2758E+07  1.0544E+03  1.3070E+14  2.9598E-10  1.1141E+01  5.6496E-14  0.0000E+00  1.8898E+08  3.1216E+08  1.1184E+09  4.5565E+04  4.3052E-04  5.4710E+01  3.6836E+02  8.1451E-01  4.5132E+08  2.5970E+01  1.2836E+08  1.5357E+10  6.5335E+13  1.6682E+09  9.1508E+00  6.9158E+05  6.2281E+01  7.8436E+01  3.2654E+04  5.3674E+02  6.1095E+07  1.4083E+03  1.4119E+07  1.0230E+05  2.7446E+05  2.2452E-10
  1.2831E+07  1.0547E+03  1.3231E+14  2.9961E-10  1.1281E+01  5.8070E-14  0.0000E+00  1.9145E+08  2.9812E+08  1.0858E+09  4.4838E+04  4.4511E-04  5.6062E+01  3.7483E+02  8.4051E-01  4.3476E+08  2.4966E+01  1.2443E+08  1.5492E+10  6.6137E+13  1.6942E+09  8.7371E+00  6.5977E+05  5.9389E+01  7.6076E+01  3.1787E+04  5.1995E+02  5.9786E+07  1.3915E+03  1.3399E+07  1.0067E+05  2.6740E+05  2.2751E-10
  1.2905E+07  1.0550E+03  1.3393E+14  3.0329E-10  1.1423E+01  5.9688E-14  0.0000E+00  1.9395E+08  2.8533E+08  1.0553E+09  4.4142E+04  4.5994E-04  5.7432E+01  3.8140E+02  8.6668E-01  4.1949E+08  2.4046E+01  1.2076E+08  1.5632E+10  6.6949E+13  1.7202E+09  8.3626E+00  6.3098E+05  5.6786E+01  7.3882E+01  3.0967E+04  5.0447E+02  5.8546E+07  1.3755E+03  1.2731E+07  9.9091E+04  2.6078E+05  2.3054E-10
  1.2979E+07  1.0553E+03  1.3558E+14  3.0702E-10  1.1566E+01  6.1351E-14  0.0000E+00  1.9648E+08  2.7364E+08  1.0265E+09  4.3475E+04  4.7504E-04  5.8820E+01  3.8809E+02  8.9305E-01  4.0535E+08  2.3200E+01  1.1731E+08  1.5777E+10  6.7771E+13  1.7463E+09  8.0222E+00  6.0479E+05  5.4432E+01  7.1835E+01  3.0191E+04  4.9014E+02  5.7370E+07  1.3603E+03  1.2109E+07  9.7557E+04  2.5456E+05  2.3361E-10
  1.3052E+07  1.0556E+03  1.3724E+14  3.1079E-10  1.1712E+01  6.3060E-14  0.0000E+00  1.9905E+08  2.6291E+08  9.9948E+08  4.2835E+04  4.9043E-04  6.0229E+01  3.9489E+02  9.1967E-01  3.9222E+08  2.2419E+01  1.1408E+08  1.5927E+10  6.8603E+13  1.7724E+09  7.7113E+00  5.8088E+05  5.2294E+01  6.9922E+01  2.9455E+04  4.7684E+02  5.6252E+07  1.3458E+03  1.1529E+07  9.6068E+04  2.4868E+05  2.3672E-10
  1.3126E+07  1.0558E+03  1.3893E+14  3.1460E-10  1.1859E+01  6.4817E-14  0.0000E+00  2.0165E+08  2.5303E+08  9.7394E+08  4.2221E+04  5.0612E-04  6.1660E+01  4.0182E+02  9.4656E-01  3.8000E+08  2.1696E+01  1.1103E+08  1.6081E+10  6.9446E+13  1.7986E+09  7.4263E+00  5.5897E+05  5.0344E+01  6.8128E+01  2.8756E+04  4.6446E+02  5.5187E+07  1.3320E+03  1.0987E+07  9.4621E+04  2.4313E+05  2.3987E-10
  1.3199E+07  1.0561E+03  1.4063E+14  3.1846E-10  1.2008E+01  6.6622E-14  0.0000E+00  2.0429E+08  2.4390E+08  9.4977E+08  4.1630E+04  5.2213E-04  6.3114E+01  4.0886E+02  9.7375E-01  3.6859E+08  2.1024E+01  1.0816E+08  1.6240E+10  7.0298E+13  1.8249E+09  7.1641E+00  5.3880E+05  4.8558E+01  6.6442E+01  2.8090E+04  4.5290E+02  5.4171E+07  1.3187E+03  1.0480E+07  9.3216E+04  2.3786E+05  2.4306E-10
  1.3273E+07  1.0564E+03  1.4236E+14  3.2237E-10  1.2159E+01  6.8478E-14  0.0000E+00  2.0695E+08  2.3543E+08  9.2688E+08  4.1061E+04  5.3847E-04  6.4592E+01  4.1602E+02  1.0013E+00  3.5790E+08  2.0398E+01  1.0545E+08  1.6402E+10  7.1161E+13  1.8514E+09  6.9222E+00  5.2019E+05  4.6917E+01  6.4855E+01  2.7457E+04  4.4209E+02  5.3200E+07  1.3061E+03  1.0005E+07  9.1850E+04  2.3287E+05  2.4629E-10
  1.3347E+07  1.0567E+03  1.4411E+14  3.2633E-10  1.2312E+01  7.0386E-14  0.0000E+00  2.0965E+08  2.2756E+08  9.0515E+08  4.0513E+04  5.5517E-04  6.6095E+01  4.2331E+02  1.0292E+00  3.4787E+08  1.9813E+01  1.0287E+08  1.6569E+10  7.2035E+13  1.8780E+09  6.6981E+00  5.0295E+05  4.5404E+01  6.3357E+01  2.6852E+04  4.3195E+02  5.2271E+07  1.2940E+03  9.5594E+06  9.0522E+04  2.2811E+05  2.4957E-10
