 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           z           T        n<H>         rho           p        wmix        tau n_H         n_Mg        n_Fe        n_Al        n_Ti        n_TIO       n_TIO2      n_TIS       n_SIO       n_SIO2      n_SIS       n_H2O       n_H2        n_H2S       n_MGO       n_MGOH      n_MG(OH)2   n_FEO       n_FES       n_FE(OH)2   n_ALOH      n_ALH       n_AL2O      n_ALS       n_ALO2H              pel
  1.5072E+03  1.0306E+03  2.8906E+11  6.5457E-13  2.4127E-02  7.7680E-20  0.0000E+00  4.9948E+06  9.7920E+06  8.1466E+06  1.8961E+03  7.5707E-07  2.3355E-01  3.2543E+00  1.3999E-03  8.3391E+06  6.5531E-01  1.0147E+06  5.2232E+07  1.4447E+11  2.3409E+06  3.3712E-01  2.1376E+03  1.8045E-02  7.1499E-01  1.5902E+02  3.8364E-02  3.6567E+05  3.2574E+00  1.5189E+05  3.5309E+03  2.7287E+03  5.8174E-12
  3.0148E+03  1.0306E+03  2.8926E+11  6.5503E-13  2.4144E-02  7.7800E-20  0.0000E+00  4.9966E+06  9.7989E+06  8.1524E+06  1.8968E+03  7.5734E-07  2.3363E-01  3.2554E+00  1.4005E-03  8.3449E+06  6.5577E-01  1.0155E+06  5.2269E+07  1.4457E+11  2.3427E+06  3.3735E-01  2.1398E+03  1.8071E-02  7.1550E-01  1.5914E+02  3.8418E-02  3.6593E+05  3.2597E+00  1.5199E+05  3.5325E+03  2.7306E+03  5.8195E-12
  6.0299E+03  1.0306E+03  2.8967E+11  6.5595E-13  2.4178E-02  7.8039E-20  0.0000E+00  5.0001E+06  9.8126E+06  8.1638E+06  1.8982E+03  7.5786E-07  2.3379E-01  3.2576E+00  1.4017E-03  8.3564E+06  6.5668E-01  1.0171E+06  5.2342E+07  1.4478E+11  2.3464E+06  3.3783E-01  2.1443E+03  1.8121E-02  7.1651E-01  1.5940E+02  3.8525E-02  3.6644E+05  3.2643E+00  1.5221E+05  3.5357E+03  2.7344E+03  5.8236E-12
  1.2060E+04  1.0306E+03  2.9048E+11  6.5779E-13  2.4246E-02  7.8521E-20  0.0000E+00  5.0073E+06  9.8401E+06  8.1867E+06  1.9009E+03  7.5891E-07  2.3411E-01  3.2620E+00  1.4041E-03  8.3795E+06  6.5850E-01  1.0202E+06  5.2489E+07  1.4518E+11  2.3539E+06  3.3878E-01  2.1533E+03  1.8223E-02  7.1853E-01  1.5990E+02  3.8741E-02  3.6747E+05  3.2736E+00  1.5264E+05  3.5420E+03  2.7421E+03  5.8319E-12
  2.4121E+04  1.0306E+03  2.9211E+11  6.6149E-13  2.4382E-02  7.9492E-20  0.0000E+00  5.0216E+06  9.8954E+06  8.2327E+06  1.9064E+03  7.6102E-07  2.3475E-01  3.2709E+00  1.4090E-03  8.4260E+06  6.6217E-01  1.0266E+06  5.2785E+07  1.4600E+11  2.3689E+06  3.4070E-01  2.1715E+03  1.8428E-02  7.2259E-01  1.6092E+02  3.9177E-02  3.6955E+05  3.2921E+00  1.5350E+05  3.5547E+03  2.7576E+03  5.8486E-12
  4.8242E+04  1.0306E+03  2.9541E+11  6.6895E-13  2.4656E-02  8.1472E-20  0.0000E+00  5.0504E+06  1.0007E+07  8.3256E+06  1.9173E+03  7.6526E-07  2.3604E-01  3.2888E+00  1.4188E-03  8.5197E+06  6.6956E-01  1.0395E+06  5.3382E+07  1.4765E+11  2.3991E+06  3.4457E-01  2.2082E+03  1.8845E-02  7.3078E-01  1.6297E+02  4.0062E-02  3.7373E+05  3.3296E+00  1.5523E+05  3.5803E+03  2.7888E+03  5.8822E-12
  9.6484E+04  1.0306E+03  3.0211E+11  6.8412E-13  2.5213E-02  8.5580E-20  0.0000E+00  5.1084E+06  1.0234E+07  8.5144E+06  1.9395E+03  7.7381E-07  2.3865E-01  3.3250E+00  1.4387E-03  8.7102E+06  6.8460E-01  1.0658E+06  5.4595E+07  1.5099E+11  2.4607E+06  3.5243E-01  2.2836E+03  1.9707E-02  7.4745E-01  1.6715E+02  4.1894E-02  3.8223E+05  3.4058E+00  1.5877E+05  3.6318E+03  2.8523E+03  5.9498E-12
  1.7010E+05  1.0306E+03  3.1262E+11  7.0793E-13  2.6088E-02  9.2252E-20  0.0000E+00  5.1982E+06  1.0590E+07  8.8107E+06  1.9738E+03  7.8710E-07  2.4271E-01  3.3812E+00  1.4694E-03  9.0092E+06  7.0819E-01  1.1071E+06  5.6499E+07  1.5625E+11  2.5574E+06  3.6478E-01  2.4036E+03  2.1099E-02  7.7361E-01  1.7372E+02  4.4852E-02  3.9557E+05  3.5255E+00  1.6431E+05  3.7116E+03  2.9520E+03  6.0546E-12
  2.4371E+05  1.0306E+03  3.2351E+11  7.3258E-13  2.6994E-02  9.9443E-20  0.0000E+00  5.2896E+06  1.0959E+07  9.1174E+06  2.0087E+03  8.0067E-07  2.4685E-01  3.4385E+00  1.5007E-03  9.3185E+06  7.3261E-01  1.1499E+06  5.8470E+07  1.6169E+11  2.6578E+06  3.7756E-01  2.5299E+03  2.2589E-02  8.0069E-01  1.8053E+02  4.8019E-02  4.0938E+05  3.6494E+00  1.7005E+05  3.7928E+03  3.0551E+03  6.1612E-12
  3.1732E+05  1.0306E+03  3.3477E+11  7.5808E-13  2.7931E-02  1.0720E-19  0.0000E+00  5.3826E+06  1.1340E+07  9.4348E+06  2.0442E+03  8.1453E-07  2.5107E-01  3.4970E+00  1.5327E-03  9.6385E+06  7.5787E-01  1.1943E+06  6.0510E+07  1.6732E+11  2.7618E+06  3.9079E-01  2.6629E+03  2.4185E-02  8.2871E-01  1.8759E+02  5.1409E-02  4.2368E+05  3.7777E+00  1.7599E+05  3.8754E+03  3.1619E+03  6.2696E-12
