    K,   J,  wlos(J),   WLSTEP(J),   Y
   49   177   1364.91      0.68      0.00
   49   178   1365.60      0.68      0.00
   49   179   1366.28      0.68      0.00
   49   180   1366.96      0.68      0.00
   49   181   1367.65      0.68      0.00
   49   182   1368.33      0.68      0.00
   49   183   1369.01      0.68      0.00
   49   184   1369.70      0.68      0.00
   49   185   1370.38      0.69      0.00
   49   186   1371.07      0.69      0.00
   49   187   1371.76      0.69      0.00
   49   188   1372.44      0.69      0.00
   49   189   1373.13      0.69      0.00
   49   190   1373.81      0.69      0.00
   49   191   1374.50      0.69      0.00
   49   192   1375.19      0.69      0.00
   49   193   1375.88      0.69      0.00
   49   194   1376.56      0.69      0.00
   49   195   1377.25      0.69      0.00
   49   196   1377.94      0.69      0.00
   49   197   1378.63      0.69      0.00
   49   198   1379.32      0.69      0.00
   49   199   1380.01      0.69      0.00
   49   200   1380.70      0.69      0.00
   49   201   1381.39      0.69      0.00
   49   202   1382.08      0.69      0.00
   49   203   1382.77      0.69      0.00
   49   204   1383.46      0.69      0.00
   49   205   1384.16      0.69      0.00
   49   206   1384.85      0.69      0.00
   49   207   1385.54      0.69      0.00
   49   208   1386.23      0.69      0.00
   49   209   1386.93      0.69      0.00
   49   210   1387.62      0.69      0.00
   49   211   1388.31      0.69      0.00
   49   212   1389.01      0.69      0.00
   49   213   1389.70      0.69      0.00
   49   214   1390.40      0.70      0.00
   49   215   1391.09      0.70      0.00
   49   216   1391.79      0.70      0.00
   49   217   1392.49      0.70      0.00
   49   218   1393.18      0.70      0.00
   49   219   1393.88      0.70      0.00
   49   220   1394.58      0.70      0.00
   49   221   1395.27      0.70      0.00
   49   222   1395.97      0.70      0.00
   49   223   1396.67      0.70      0.00
   49   224   1397.37      0.70      0.00
   49   225   1398.07      0.70      0.00
   49   226   1398.77      0.70      0.00
   49   227   1399.47      0.70      0.00
   49   228   1400.17      0.70      0.00
   49   229   1400.87      0.70      0.00
   49   230   1401.57      0.70      0.00
   49   231   1402.27      0.70      0.00
   49   232   1402.97      0.70      0.00
   49   233   1403.67      0.70      0.00
   49   234   1404.37      0.70      0.00
   49   235   1405.07      0.70      0.00
   49   236   1405.78      0.70      0.00
   49   237   1406.48      0.70      0.00
   49   238   1407.18      0.70      0.00
   49   239   1407.89      0.70      0.00
   49   240   1408.59      0.70      0.00
   49   241   1409.30      0.70      0.00
   49   242   1410.00      0.70      0.00
   49   243   1410.71      0.71      0.00
   49   244   1411.41      0.71      0.00
   49   245   1412.12      0.71      0.00
   49   246   1412.82      0.71      0.00
   49   247   1413.53      0.71      0.00
   49   248   1414.24      0.71      0.00
   49   249   1414.94      0.71      0.00
   49   250   1415.65      0.71      0.00
   49   251   1416.36      0.71      0.00
   49   252   1417.07      0.71      0.00
   49   253   1417.78      0.71      0.00
   49   254   1418.49      0.71      0.00
   49   255   1419.20      0.71      0.00
   49   256   1419.91      0.71      0.00
   49   257   1420.62      0.71      0.00
   49   258   1421.33      0.71      0.00
   49   259   1422.04      0.71      0.00
   49   260   1422.75      0.71      0.00
   49   261   1423.46      0.71      0.00
   49   262   1424.17      0.71      0.00
   49   263   1424.88      0.71      0.00
   49   264   1425.60      0.71      0.00
   49   265   1426.31      0.71      0.00
   49   266   1427.02      0.71      0.00
