    K,   J,  wlos(J),   WLSTEP(J),   Y
   49  1114   2180.56      1.09      0.00
   49  1115   2181.65      1.09      0.00
   49  1116   2182.74      1.09      0.00
   49  1117   2183.83      1.09      0.00
   49  1118   2184.92      1.09      0.00
   49  1119   2186.01      1.09      0.00
   49  1120   2187.11      1.09      0.00
   49  1121   2188.20      1.09      0.00
   49  1122   2189.29      1.09      0.00
   49  1123   2190.39      1.10      0.00
   49  1124   2191.48      1.10      0.00
   49  1125   2192.58      1.10      0.00
   49  1126   2193.68      1.10      0.00
   49  1127   2194.77      1.10      0.00
   49  1128   2195.87      1.10      0.00
   49  1129   2196.97      1.10      0.00
   49  1130   2198.07      1.10      0.00
   49  1131   2199.17      1.10      0.00
   49  1132   2200.27      1.10      0.00
   49  1133   2201.37      1.10      0.00
   49  1134   2202.47      1.10      0.00
   49  1135   2203.57      1.10      0.00
   49  1136   2204.67      1.10      0.00
   49  1137   2205.78      1.10      0.00
   49  1138   2206.88      1.10      0.00
   49  1139   2207.98      1.10      0.00
   49  1140   2209.09      1.10      0.00
   49  1141   2210.19      1.11      0.00
   49  1142   2211.30      1.11      0.00
   49  1143   2212.40      1.11      0.00
   49  1144   2213.51      1.11      0.00
   49  1145   2214.62      1.11      0.00
   49  1146   2215.72      1.11      0.00
   49  1147   2216.83      1.11      0.00
   49  1148   2217.94      1.11      0.00
   49  1149   2219.05      1.11      0.00
   49  1150   2220.16      1.11      0.00
   49  1151   2221.27      1.11      0.00
   49  1152   2222.38      1.11      0.00
   49  1153   2223.49      1.11      0.00
   49  1154   2224.60      1.11      0.00
   49  1155   2225.72      1.11      0.00
   49  1156   2226.83      1.11      0.00
   49  1157   2227.94      1.11      0.00
   49  1158   2229.06      1.11      0.00
   49  1159   2230.17      1.12      0.00
   49  1160   2231.29      1.12      0.00
   49  1161   2232.40      1.12      0.00
   49  1162   2233.52      1.12      0.00
   49  1163   2234.64      1.12      0.00
   49  1164   2235.75      1.12      0.00
   49  1165   2236.87      1.12      0.00
   49  1166   2237.99      1.12      0.00
   49  1167   2239.11      1.12      0.00
   49  1168   2240.23      1.12      0.00
   49  1169   2241.35      1.12      0.00
   49  1170   2242.47      1.12      0.00
   49  1171   2243.59      1.12      0.00
   49  1172   2244.72      1.12      0.00
   49  1173   2245.84      1.12      0.00
   49  1174   2246.96      1.12      0.00
   49  1175   2248.08      1.12      0.00
   49  1176   2249.21      1.12      0.00
   49  1177   2250.33      1.13      0.00
   49  1178   2251.46      1.13      0.00
   49  1179   2252.59      1.13      0.00
   49  1180   2253.71      1.13      0.00
   49  1181   2254.84      1.13      0.00
   49  1182   2255.97      1.13      0.00
   49  1183   2257.10      1.13      0.00
   49  1184   2258.22      1.13      0.00
   49  1185   2259.35      1.13      0.00
   49  1186   2260.48      1.13      0.00
   49  1187   2261.61      1.13      0.00
   49  1188   2262.74      1.13      0.00
   49  1189   2263.88      1.13      0.00
   49  1190   2265.01      1.13      0.00
   49  1191   2266.14      1.13      0.00
   49  1192   2267.27      1.13      0.00
   49  1193   2268.41      1.13      0.00
   49  1194   2269.54      1.13      0.00
   49  1195   2270.68      1.14      0.00
   49  1196   2271.81      1.14      0.00
   49  1197   2272.95      1.14      0.00
   49  1198   2274.09      1.14      0.00
   49  1199   2275.22      1.14      0.00
   49  1200   2276.36      1.14      0.00
   49  1201   2277.50      1.14      0.00
   49  1202   2278.64      1.14      0.00
   49  1203   2279.78      1.14      0.00
   49  1204   2280.92      1.14      0.00
   49  1205   2282.06      1.14      0.00
   49  1206   2283.20      1.14      0.00
   49  1207   2284.34      1.14      0.00
   49  1208   2285.49      1.14      0.00
   49  1209   2286.63      1.14      0.00
   49  1210   2287.77      1.14      0.00
   49  1211   2288.92      1.14      0.00
   49  1212   2290.06      1.15      0.00
   49  1213   2291.21      1.15      0.00
   49  1214   2292.35      1.15      0.00
   49  1215   2293.50      1.15      0.00
   49  1216   2294.65      1.15      0.00
   49  1217   2295.79      1.15      0.00
   49  1218   2296.94      1.15      0.00
   49  1219   2298.09      1.15      0.00
   49  1220   2299.24      1.15      0.00
   49  1221   2300.39      1.15      0.00
   49  1222   2301.54      1.15      0.00
   49  1223   2302.69      1.15      0.00
   49  1224   2303.84      1.15      0.00
   49  1225   2304.99      1.15      0.00
   49  1226   2306.15      1.15      0.00
   49  1227   2307.30      1.15      0.00
   49  1228   2308.45      1.15      0.00
   49  1229   2309.61      1.15      0.00
   49  1230   2310.76      1.16      0.00
   49  1231   2311.92      1.16      0.00
   49  1232   2313.08      1.16      0.00
   49  1233   2314.23      1.16      0.00
   49  1234   2315.39      1.16      0.00
   49  1235   2316.55      1.16      0.00
   49  1236   2317.71      1.16      0.00
   49  1237   2318.87      1.16      0.00
   49  1238   2320.02      1.16      0.00
   49  1239   2321.19      1.16      0.00
   49  1240   2322.35      1.16      0.00
   49  1241   2323.51      1.16      0.00
   49  1242   2324.67      1.16      0.00
   49  1243   2325.83      1.16      0.00
   49  1244   2327.00      1.16      0.00
   49  1245   2328.16      1.16      0.00
   49  1246   2329.32      1.16      0.00
   49  1247   2330.49      1.17      0.00
   49  1248   2331.65      1.17      0.00
   49  1249   2332.82      1.17      0.00
   49  1250   2333.99      1.17      0.00
   49  1251   2335.15      1.17      0.00
   49  1252   2336.32      1.17      0.00
   49  1253   2337.49      1.17      0.00
   49  1254   2338.66      1.17      0.00
   49  1255   2339.83      1.17      0.00
   49  1256   2341.00      1.17      0.00
   49  1257   2342.17      1.17      0.00
   49  1258   2343.34      1.17      0.00
   49  1259   2344.51      1.17      0.00
   49  1260   2345.69      1.17      0.00
   49  1261   2346.86      1.17      0.00
   49  1262   2348.03      1.17      0.00
   49  1263   2349.21      1.17      0.00
   49  1264   2350.38      1.18      0.00
   49  1265   2351.56      1.18      0.00
   49  1266   2352.73      1.18      0.00
   49  1267   2353.91      1.18      0.00
   49  1268   2355.09      1.18      0.00
   49  1269   2356.26      1.18      0.00
   49  1270   2357.44      1.18      0.00
   49  1271   2358.62      1.18      0.00
   49  1272   2359.80      1.18      0.00
   49  1273   2360.98      1.18      0.00
   49  1274   2362.16      1.18      0.00
   49  1275   2363.34      1.18      0.00
   49  1276   2364.53      1.18      0.00
   49  1277   2365.71      1.18      0.00
   49  1278   2366.89      1.18      0.00
   49  1279   2368.08      1.18      0.00
   49  1280   2369.26      1.18      0.00
   49  1281   2370.44      1.19      0.00
   49  1282   2371.63      1.19      0.00
   49  1283   2372.82      1.19      0.00
   49  1284   2374.00      1.19      0.00
   49  1285   2375.19      1.19      0.00
   49  1286   2376.38      1.19      0.00
   49  1287   2377.57      1.19      0.00
   49  1288   2378.76      1.19      0.00
   49  1289   2379.94      1.19      0.00
   49  1290   2381.13      1.19      0.00
   49  1291   2382.33      1.19      0.00
   49  1292   2383.52      1.19      0.00
   49  1293   2384.71      1.19      0.00
   49  1294   2385.90      1.19      0.00
   49  1295   2387.10      1.19      0.00
   49  1296   2388.29      1.19      0.00
   49  1297   2389.48      1.19      0.00
   49  1298   2390.68      1.20      0.00
   49  1299   2391.87      1.20      0.00
   49  1300   2393.07      1.20      0.00
   49  1301   2394.27      1.20      0.00
   49  1302   2395.46      1.20      0.00
   49  1303   2396.66      1.20      0.00
   49  1304   2397.86      1.20      0.00
   49  1305   2399.06      1.20      0.00
   49  1306   2400.26      1.20      0.00
   49  1307   2401.46      1.20      0.00
   49  1308   2402.66      1.20      0.00
   49  1309   2403.86      1.20      0.00
   49  1310   2405.07      1.20      0.00
   49  1311   2406.27      1.20      0.00
   49  1312   2407.47      1.20      0.00
   49  1313   2408.68      1.20      0.00
   49  1314   2409.88      1.20      0.00
   49  1315   2411.09      1.21      0.00
   49  1316   2412.29      1.21      0.00
   49  1317   2413.50      1.21      0.00
   49  1318   2414.70      1.21      0.00
   49  1319   2415.91      1.21      0.00
   49  1320   2417.12      1.21      0.00
   49  1321   2418.33      1.21      0.00
   49  1322   2419.54      1.21      0.00
   49  1323   2420.75      1.21      0.00
   49  1324   2421.96      1.21      0.00
   49  1325   2423.17      1.21      0.00
   49  1326   2424.38      1.21      0.00
   49  1327   2425.59      1.21      0.00
   49  1328   2426.81      1.21      0.00
   49  1329   2428.02      1.21      0.00
   49  1330   2429.24      1.21      0.00
   49  1331   2430.45      1.22      0.00
   49  1332   2431.67      1.22      0.00
   49  1333   2432.88      1.22      0.00
   49  1334   2434.10      1.22      0.00
   49  1335   2435.32      1.22      0.00
   49  1336   2436.53      1.22      0.00
   49  1337   2437.75      1.22      0.00
   49  1338   2438.97      1.22      0.00
   49  1339   2440.19      1.22      0.00
   49  1340   2441.41      1.22      0.00
   49  1341   2442.63      1.22      0.00
   49  1342   2443.85      1.22      0.00
   49  1343   2445.08      1.22      0.00
   49  1344   2446.30      1.22      0.00
   49  1345   2447.52      1.22      0.00
   49  1346   2448.75      1.22      0.00
   49  1347   2449.97      1.22      0.00
   49  1348   2451.20      1.23      0.00
   49  1349   2452.42      1.23      0.00
   49  1350   2453.65      1.23      0.00
   49  1351   2454.88      1.23      0.00
   49  1352   2456.10      1.23      0.00
   49  1353   2457.33      1.23      0.00
   49  1354   2458.56      1.23      0.00
   49  1355   2459.79      1.23      0.00
   49  1356   2461.02      1.23      0.00
   49  1357   2462.25      1.23      0.00
   49  1358   2463.48      1.23      0.00
   49  1359   2464.72      1.23      0.00
   49  1360   2465.95      1.23      0.00
   49  1361   2467.18      1.23      0.00
   49  1362   2468.42      1.23      0.00
   49  1363   2469.65      1.23      0.00
   49  1364   2470.88      1.24      0.00
   49  1365   2472.12      1.24      0.00
   49  1366   2473.36      1.24      0.00
   49  1367   2474.59      1.24      0.00
   49  1368   2475.83      1.24      0.00
   49  1369   2477.07      1.24      0.00
   49  1370   2478.31      1.24      0.00
   49  1371   2479.55      1.24      0.00
   49  1372   2480.79      1.24      0.00
   49  1373   2482.03      1.24      0.00
   49  1374   2483.27      1.24      0.00
   49  1375   2484.51      1.24      0.00
   49  1376   2485.75      1.24      0.00
   49  1377   2487.00      1.24      0.00
   49  1378   2488.24      1.24      0.00
   49  1379   2489.49      1.24      0.00
   49  1380   2490.73      1.25      0.00
   49  1381   2491.98      1.25      0.00
   49  1382   2493.22      1.25      0.00
   49  1383   2494.47      1.25      0.00
   49  1384   2495.72      1.25      0.00
   49  1385   2496.97      1.25      0.00
   49  1386   2498.21      1.25      0.00
   49  1387   2499.46      1.25      0.00
   49  1388   2500.71      1.25      0.00
   49  1389   2501.96      1.25      0.00
   49  1390   2503.22      1.25      0.00
   49  1391   2504.47      1.25      0.00
   49  1392   2505.72      1.25      0.00
   49  1393   2506.97      1.25      0.00
   49  1394   2508.23      1.25      0.00
   49  1395   2509.48      1.25      0.00
   49  1396   2510.74      1.26      0.00
   49  1397   2511.99      1.26      0.00
   49  1398   2513.25      1.26      0.00
   49  1399   2514.50      1.26      0.00
   49  1400   2515.76      1.26      0.00
   49  1401   2517.02      1.26      0.00
   49  1402   2518.28      1.26      0.00
   49  1403   2519.54      1.26      0.00
   49  1404   2520.80      1.26      0.00
   49  1405   2522.06      1.26      0.00
   49  1406   2523.32      1.26      0.00
   49  1407   2524.58      1.26      0.00
   49  1408   2525.85      1.26      0.00
   49  1409   2527.11      1.26      0.00
   49  1410   2528.37      1.26      0.00
   49  1411   2529.64      1.26      0.00
   49  1412   2530.90      1.27      0.00
   49  1413   2532.17      1.27      0.00
   49  1414   2533.43      1.27      0.00
   49  1415   2534.70      1.27      0.00
   49  1416   2535.97      1.27      0.00
   49  1417   2537.24      1.27      0.00
   49  1418   2538.51      1.27      0.00
   49  1419   2539.78      1.27      0.00
   49  1420   2541.05      1.27      0.00
   49  1421   2542.32      1.27      0.00
   49  1422   2543.59      1.27      0.00
   49  1423   2544.86      1.27      0.00
   49  1424   2546.13      1.27      0.00
   49  1425   2547.41      1.27      0.00
   49  1426   2548.68      1.27      0.00
   49  1427   2549.95      1.27      0.00
   49  1428   2551.23      1.28      0.00
   49  1429   2552.51      1.28      0.00
   49  1430   2553.78      1.28      0.00
   49  1431   2555.06      1.28      0.00
   49  1432   2556.34      1.28      0.00
   49  1433   2557.62      1.28      0.00
   49  1434   2558.89      1.28      0.00
   49  1435   2560.17      1.28      0.00
   49  1436   2561.45      1.28      0.00
   49  1437   2562.74      1.28      0.00
   49  1438   2564.02      1.28      0.00
   49  1439   2565.30      1.28      0.00
   49  1440   2566.58      1.28      0.00
   49  1441   2567.87      1.28      0.00
   49  1442   2569.15      1.28      0.00
   49  1443   2570.44      1.29      0.00
   49  1444   2571.72      1.29      0.00
   49  1445   2573.01      1.29      0.00
   49  1446   2574.29      1.29      0.00
   49  1447   2575.58      1.29      0.00
   49  1448   2576.87      1.29      0.00
   49  1449   2578.16      1.29      0.00
   49  1450   2579.45      1.29      0.00
   49  1451   2580.74      1.29      0.00
   49  1452   2582.03      1.29      0.00
   49  1453   2583.32      1.29      0.00
   49  1454   2584.61      1.29      0.00
   49  1455   2585.90      1.29      0.00
   49  1456   2587.20      1.29      0.00
   49  1457   2588.49      1.29      0.00
   49  1458   2589.79      1.29      0.00
   49  1459   2591.08      1.30      0.00
   49  1460   2592.38      1.30      0.00
   49  1461   2593.67      1.30      0.00
   49  1462   2594.97      1.30      0.00
   49  1463   2596.27      1.30      0.00
   49  1464   2597.57      1.30      0.00
   49  1465   2598.87      1.30      0.00
   49  1466   2600.17      1.30      0.00
   49  1467   2601.47      1.30      0.00
   49  1468   2602.77      1.30      0.00
   49  1469   2604.07      1.30      0.00
   49  1470   2605.37      1.30      0.00
   49  1471   2606.67      1.30      0.00
   49  1472   2607.98      1.30      0.00
   49  1473   2609.28      1.30      0.00
   49  1474   2610.59      1.31      0.00
   49  1475   2611.89      1.31      0.00
   49  1476   2613.20      1.31      0.00
   49  1477   2614.51      1.31      0.00
   49  1478   2615.81      1.31      0.00
   49  1479   2617.12      1.31      0.00
   49  1480   2618.43      1.31      0.00
   49  1481   2619.74      1.31      0.00
   49  1482   2621.05      1.31      0.00
   49  1483   2622.36      1.31      0.00
   49  1484   2623.67      1.31      0.00
   49  1485   2624.98      1.31      0.00
   49  1486   2626.30      1.31      0.00
   49  1487   2627.61      1.31      0.00
   49  1488   2628.92      1.31      0.00
   49  1489   2630.24      1.32      0.00
   49  1490   2631.55      1.32      0.00
   49  1491   2632.87      1.32      0.00
   49  1492   2634.19      1.32      0.00
   49  1493   2635.50      1.32      0.00
   49  1494   2636.82      1.32      0.00
   49  1495   2638.14      1.32      0.00
   49  1496   2639.46      1.32      0.00
   49  1497   2640.78      1.32      0.00
   49  1498   2642.10      1.32      0.00
   49  1499   2643.42      1.32      0.00
   49  1500   2644.74      1.32      0.00
   49  1501   2646.07      1.32      0.00
   49  1502   2647.39      1.32      0.00
   49  1503   2648.71      1.32      0.00
   49  1504   2650.04      1.32      0.00
   49  1505   2651.36      1.33      0.00
   49  1506   2652.69      1.33      0.00
   49  1507   2654.02      1.33      0.00
   49  1508   2655.34      1.33      0.00
   49  1509   2656.67      1.33      0.00
   49  1510   2658.00      1.33      0.00
   49  1511   2659.33      1.33      0.00
   49  1512   2660.66      1.33      0.00
   49  1513   2661.99      1.33      0.00
   49  1514   2663.32      1.33      0.00
   49  1515   2664.65      1.33      0.00
   49  1516   2665.99      1.33      0.00
   49  1517   2667.32      1.33      0.00
   49  1518   2668.65      1.33      0.00
   49  1519   2669.99      1.33      0.00
   49  1520   2671.32      1.34      0.00
   49  1521   2672.66      1.34      0.00
   49  1522   2674.00      1.34      0.00
   49  1523   2675.33      1.34      0.00
   49  1524   2676.67      1.34      0.00
   49  1525   2678.01      1.34      0.00
   49  1526   2679.35      1.34      0.00
   49  1527   2680.69      1.34      0.00
   49  1528   2682.03      1.34      0.00
   49  1529   2683.37      1.34      0.00
   49  1530   2684.71      1.34      0.00
   49  1531   2686.06      1.34      0.00
   49  1532   2687.40      1.34      0.00
   49  1533   2688.74      1.34      0.00
   49  1534   2690.09      1.35      0.00
   49  1535   2691.43      1.35      0.00
   49  1536   2692.78      1.35      0.00
   49  1537   2694.13      1.35      0.00
   49  1538   2695.47      1.35      0.00
   49  1539   2696.82      1.35      0.00
   49  1540   2698.17      1.35      0.00
   49  1541   2699.52      1.35      0.00
   49  1542   2700.87      1.35      0.00
   49  1543   2702.22      1.35      0.00
   49  1544   2703.57      1.35      0.00
   49  1545   2704.92      1.35      0.00
   49  1546   2706.28      1.35      0.00
   49  1547   2707.63      1.35      0.00
   49  1548   2708.99      1.35      0.00
   49  1549   2710.34      1.36      0.00
   49  1550   2711.70      1.36      0.00
   49  1551   2713.05      1.36      0.00
   49  1552   2714.41      1.36      0.00
   49  1553   2715.77      1.36      0.00
   49  1554   2717.12      1.36      0.00
   49  1555   2718.48      1.36      0.00
   49  1556   2719.84      1.36      0.00
   49  1557   2721.20      1.36      0.00
   49  1558   2722.56      1.36      0.00
   49  1559   2723.93      1.36      0.00
   49  1560   2725.29      1.36      0.00
   49  1561   2726.65      1.36      0.00
   49  1562   2728.01      1.36      0.00
   49  1563   2729.38      1.36      0.00
   49  1564   2730.74      1.37      0.00
   49  1565   2732.11      1.37      0.00
   49  1566   2733.48      1.37      0.00
   49  1567   2734.84      1.37      0.00
   49  1568   2736.21      1.37      0.00
   49  1569   2737.58      1.37      0.00
   49  1570   2738.95      1.37      0.00
   49  1571   2740.32      1.37      0.00
   49  1572   2741.69      1.37      0.00
   49  1573   2743.06      1.37      0.00
   49  1574   2744.43      1.37      0.00
   49  1575   2745.80      1.37      0.00
   49  1576   2747.18      1.37      0.00
   49  1577   2748.55      1.37      0.00
   49  1578   2749.93      1.37      0.00
   49  1579   2751.30      1.38      0.00
   49  1580   2752.68      1.38      0.00
   49  1581   2754.05      1.38      0.00
   49  1582   2755.43      1.38      0.00
   49  1583   2756.81      1.38      0.00
   49  1584   2758.19      1.38      0.00
   49  1585   2759.57      1.38      0.00
   49  1586   2760.95      1.38      0.00
   49  1587   2762.33      1.38      0.00
   49  1588   2763.71      1.38      0.00
   49  1589   2765.09      1.38      0.00
   49  1590   2766.47      1.38      0.00
   49  1591   2767.86      1.38      0.00
   49  1592   2769.24      1.38      0.00
   49  1593   2770.63      1.39      0.00
   49  1594   2772.01      1.39      0.00
   49  1595   2773.40      1.39      0.00
   49  1596   2774.79      1.39      0.00
   49  1597   2776.17      1.39      0.00
   49  1598   2777.56      1.39      0.00
   49  1599   2778.95      1.39      0.00
   49  1600   2780.34      1.39      0.00
   49  1601   2781.73      1.39      0.00
   49  1602   2783.12      1.39      0.00
   49  1603   2784.51      1.39      0.00
   49  1604   2785.91      1.39      0.00
   49  1605   2787.30      1.39      0.00
   49  1606   2788.69      1.39      0.00
   49  1607   2790.09      1.40      0.00
   49  1608   2791.48      1.40      0.00
   49  1609   2792.88      1.40      0.00
   49  1610   2794.28      1.40      0.00
   49  1611   2795.67      1.40      0.00
   49  1612   2797.07      1.40      0.00
   49  1613   2798.47      1.40      0.00
   49  1614   2799.87      1.40      0.00
   49  1615   2801.27      1.40      0.00
   49  1616   2802.67      1.40      0.00
   49  1617   2804.07      1.40      0.00
   49  1618   2805.48      1.40      0.00
   49  1619   2806.88      1.40      0.00
   49  1620   2808.28      1.40      0.00
   49  1621   2809.69      1.40      0.00
   49  1622   2811.09      1.41      0.00
   49  1623   2812.50      1.41      0.00
   49  1624   2813.90      1.41      0.00
   49  1625   2815.31      1.41      0.00
   49  1626   2816.72      1.41      0.00
   49  1627   2818.13      1.41      0.00
   49  1628   2819.54      1.41      0.00
   49  1629   2820.95      1.41      0.00
   49  1630   2822.36      1.41      0.00
   49  1631   2823.77      1.41      0.00
   49  1632   2825.18      1.41      0.00
   49  1633   2826.60      1.41      0.00
   49  1634   2828.01      1.41      0.00
   49  1635   2829.42      1.41      0.00
   49  1636   2830.84      1.42      0.00
   49  1637   2832.25      1.42      0.00
   49  1638   2833.67      1.42      0.00
   49  1639   2835.09      1.42      0.00
   49  1640   2836.51      1.42      0.00
   49  1641   2837.92      1.42      0.00
   49  1642   2839.34      1.42      0.00
   49  1643   2840.76      1.42      0.00
   49  1644   2842.18      1.42      0.00
   49  1645   2843.61      1.42      0.00
   49  1646   2845.03      1.42      0.00
   49  1647   2846.45      1.42      0.00
   49  1648   2847.87      1.42      0.00
   49  1649   2849.30      1.42      0.00
   49  1650   2850.72      1.43      0.00
   49  1651   2852.15      1.43      0.00
   49  1652   2853.58      1.43      0.00
   49  1653   2855.00      1.43      0.00
   49  1654   2856.43      1.43      0.00
   49  1655   2857.86      1.43      0.00
   49  1656   2859.29      1.43      0.00
   49  1657   2860.72      1.43      0.00
   49  1658   2862.15      1.43      0.00
   49  1659   2863.58      1.43      0.00
   49  1660   2865.01      1.43      0.00
   49  1661   2866.45      1.43      0.00
   49  1662   2867.88      1.43      0.00
   49  1663   2869.31      1.43      0.00
   49  1664   2870.75      1.44      0.00
   49  1665   2872.18      1.44      0.00
   49  1666   2873.62      1.44      0.00
   49  1667   2875.06      1.44      0.00
   49  1668   2876.50      1.44      0.00
   49  1669   2877.93      1.44      0.00
   49  1670   2879.37      1.44      0.00
   49  1671   2880.81      1.44      0.00
   49  1672   2882.25      1.44      0.00
   49  1673   2883.70      1.44      0.00
   49  1674   2885.14      1.44      0.00
   49  1675   2886.58      1.44      0.00
   49  1676   2888.02      1.44      0.00
   49  1677   2889.47      1.44      0.00
   49  1678   2890.91      1.45      0.00
   49  1679   2892.36      1.45      0.00
   49  1680   2893.81      1.45      0.00
   49  1681   2895.25      1.45      0.00
   49  1682   2896.70      1.45      0.00
   49  1683   2898.15      1.45      0.00
   49  1684   2899.60      1.45      0.00
   49  1685   2901.05      1.45      0.00
   49  1686   2902.50      1.45      0.00
   49  1687   2903.95      1.45      0.00
   49  1688   2905.40      1.45      0.00
   49  1689   2906.86      1.45      0.00
   49  1690   2908.31      1.45      0.00
   49  1691   2909.76      1.45      0.00
   49  1692   2911.22      1.46      0.00
   49  1693   2912.68      1.46      0.00
   49  1694   2914.13      1.46      0.00
   49  1695   2915.59      1.46      0.00
   49  1696   2917.05      1.46      0.00
   49  1697   2918.51      1.46      0.00
   49  1698   2919.97      1.46      0.00
   49  1699   2921.43      1.46      0.00
   49  1700   2922.89      1.46      0.00
   49  1701   2924.35      1.46      0.00
   49  1702   2925.81      1.46      0.00
   49  1703   2927.28      1.46      0.00
   49  1704   2928.74      1.46      0.00
   49  1705   2930.20      1.47      0.00
   49  1706   2931.67      1.47      0.00
   49  1707   2933.14      1.47      0.00
   49  1708   2934.60      1.47      0.00
   49  1709   2936.07      1.47      0.00
   49  1710   2937.54      1.47      0.00
   49  1711   2939.01      1.47      0.00
   49  1712   2940.48      1.47      0.00
   49  1713   2941.95      1.47      0.00
   49  1714   2943.42      1.47      0.00
   49  1715   2944.89      1.47      0.00
   49  1716   2946.36      1.47      0.00
   49  1717   2947.84      1.47      0.00
   49  1718   2949.31      1.47      0.00
   49  1719   2950.79      1.48      0.00
   49  1720   2952.26      1.48      0.00
   49  1721   2953.74      1.48      0.00
   49  1722   2955.22      1.48      0.00
   49  1723   2956.69      1.48      0.00
   49  1724   2958.17      1.48      0.00
   49  1725   2959.65      1.48      0.00
   49  1726   2961.13      1.48      0.00
   49  1727   2962.61      1.48      0.00
   49  1728   2964.10      1.48      0.00
   49  1729   2965.58      1.48      0.00
   49  1730   2967.06      1.48      0.00
   49  1731   2968.54      1.48      0.00
   49  1732   2970.03      1.48      0.00
   49  1733   2971.51      1.49      0.00
   49  1734   2973.00      1.49      0.00
   49  1735   2974.49      1.49      0.00
   49  1736   2975.97      1.49      0.00
   49  1737   2977.46      1.49      0.00
   49  1738   2978.95      1.49      0.00
   49  1739   2980.44      1.49      0.00
   49  1740   2981.93      1.49      0.00
   49  1741   2983.42      1.49      0.00
   49  1742   2984.92      1.49      0.00
   49  1743   2986.41      1.49      0.00
   49  1744   2987.90      1.49      0.00
   49  1745   2989.40      1.49      0.00
   49  1746   2990.89      1.50      0.00
   49  1747   2992.39      1.50      0.00
   49  1748   2993.88      1.50      0.00
   49  1749   2995.38      1.50      0.00
   49  1750   2996.88      1.50      0.00
   49  1751   2998.38      1.50      0.00
   49  1752   2999.88      1.50      0.00
   49  1753   3001.38      1.50      0.00
   49  1754   3002.88      1.50      0.00
   49  1755   3004.38      1.50      0.00
   49  1756   3005.88      1.50      0.00
   49  1757   3007.39      1.50      0.00
   49  1758   3008.89      1.50      0.00
   49  1759   3010.40      1.51      0.00
   49  1760   3011.90      1.51      0.00
   49  1761   3013.41      1.51      0.00
   49  1762   3014.91      1.51      0.00
   49  1763   3016.42      1.51      0.00
   49  1764   3017.93      1.51      0.00
   49  1765   3019.44      1.51      0.00
   49  1766   3020.95      1.51      0.00
   49  1767   3022.46      1.51      0.00
   49  1768   3023.97      1.51      0.00
   49  1769   3025.48      1.51      0.00
   49  1770   3027.00      1.51      0.00
   49  1771   3028.51      1.51      0.00
   49  1772   3030.03      1.51      0.00
   49  1773   3031.54      1.52      0.00
   49  1774   3033.06      1.52      0.00
   49  1775   3034.57      1.52      0.00
   49  1776   3036.09      1.52      0.00
   49  1777   3037.61      1.52      0.00
   49  1778   3039.13      1.52      0.00
   49  1779   3040.65      1.52      0.00
   49  1780   3042.17      1.52      0.00
   49  1781   3043.69      1.52      0.00
   49  1782   3045.21      1.52      0.00
   49  1783   3046.74      1.52      0.00
   49  1784   3048.26      1.52      0.00
   49  1785   3049.78      1.52      0.00
   49  1786   3051.31      1.53      0.00
   49  1787   3052.84      1.53      0.00
   49  1788   3054.36      1.53      0.00
   49  1789   3055.89      1.53      0.00
   49  1790   3057.42      1.53      0.00
   49  1791   3058.95      1.53      0.00
   49  1792   3060.48      1.53      0.00
   49  1793   3062.01      1.53      0.00
   49  1794   3063.54      1.53      0.00
   49  1795   3065.07      1.53      0.00
   49  1796   3066.60      1.53      0.00
   49  1797   3068.14      1.53      0.00
   49  1798   3069.67      1.53      0.00
   49  1799   3071.21      1.54      0.00
   49  1800   3072.74      1.54      0.00
   49  1801   3074.28      1.54      0.00
   49  1802   3075.82      1.54      0.00
   49  1803   3077.36      1.54      0.00
   49  1804   3078.90      1.54      0.00
   49  1805   3080.44      1.54      0.00
   49  1806   3081.98      1.54      0.00
   49  1807   3083.52      1.54      0.00
   49  1808   3085.06      1.54      0.00
   49  1809   3086.60      1.54      0.00
   49  1810   3088.15      1.54      0.00
   49  1811   3089.69      1.54      0.00
   49  1812   3091.24      1.55      0.00
   49  1813   3092.78      1.55      0.00
   49  1814   3094.33      1.55      0.00
   49  1815   3095.88      1.55      0.00
   49  1816   3097.42      1.55      0.00
   49  1817   3098.97      1.55      0.00
   49  1818   3100.52      1.55      0.00
   49  1819   3102.07      1.55      0.00
   49  1820   3103.62      1.55      0.00
   49  1821   3105.18      1.55      0.00
   49  1822   3106.73      1.55      0.00
   49  1823   3108.28      1.55      0.00
   49  1824   3109.84      1.55      0.00
   49  1825   3111.39      1.56      0.00
   49  1826   3112.95      1.56      0.00
   49  1827   3114.51      1.56      0.00
   49  1828   3116.06      1.56      0.00
   49  1829   3117.62      1.56      0.00
   49  1830   3119.18      1.56      0.00
   49  1831   3120.74      1.56      0.00
   49  1832   3122.30      1.56      0.00
   49  1833   3123.86      1.56      0.00
   49  1834   3125.43      1.56      0.00
   49  1835   3126.99      1.56      0.00
   49  1836   3128.55      1.56      0.00
   49  1837   3130.12      1.57      0.00
   49  1838   3131.68      1.57      0.00
   49  1839   3133.25      1.57      0.00
   49  1840   3134.82      1.57      0.00
   49  1841   3136.38      1.57      0.00
   49  1842   3137.95      1.57      0.00
   49  1843   3139.52      1.57      0.00
   49  1844   3141.09      1.57      0.00
   49  1845   3142.66      1.57      0.00
   49  1846   3144.23      1.57      0.00
   49  1847   3145.81      1.57      0.00
   49  1848   3147.38      1.57      0.00
