 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           z           pSeff_TiO2[s]Seff_Mg2SiO4Seff_SiO2[s]Seff_Fe[s]  Seff_Al2O3[sSeff_MgO[s] Seff_MgSiO3[     N*_TiO2     J*_TiO2
  1.1271E+06  4.0743E-02  5.2452E+03  1.6411E+09  3.1970E+05  1.9453E+05  2.4839E+13  1.1358E+05  6.9826E+08  5.3391E+00  9.5485E-18  0.0000E+00
  1.2007E+06  4.2175E-02  5.3360E+03  1.5978E+09  2.9985E+05  1.8255E+05  2.2841E+13  1.0657E+05  6.7729E+08  5.3134E+00  1.0665E-17  0.0000E+00
  1.2743E+06  4.3658E-02  5.4288E+03  1.5606E+09  2.8215E+05  1.7187E+05  2.1106E+13  1.0032E+05  6.5909E+08  5.2878E+00  1.1913E-17  0.0000E+00
  1.3479E+06  4.5192E-02  5.5238E+03  1.5284E+09  2.6626E+05  1.6227E+05  1.9595E+13  9.4708E+04  6.4321E+08  5.2623E+00  1.3306E-17  0.0000E+00
  1.4215E+06  4.6781E-02  5.6210E+03  1.5006E+09  2.5188E+05  1.5359E+05  1.8236E+13  8.9630E+04  6.2926E+08  5.2368E+00  1.4862E-17  0.0000E+00
  1.4951E+06  4.8431E-02  5.7204E+03  1.4764E+09  2.3880E+05  1.4569E+05  1.7085E+13  8.5010E+04  6.1698E+08  5.2115E+00  1.6607E-17  0.0000E+00
  1.5687E+06  5.0157E-02  5.8224E+03  1.4555E+09  2.2684E+05  1.3848E+05  1.5860E+13  8.0788E+04  6.0613E+08  5.1861E+00  1.8576E-17  0.0000E+00
  1.6423E+06  5.1945E-02  5.9267E+03  1.4371E+09  2.1584E+05  1.3185E+05  1.4839E+13  7.6903E+04  5.9648E+08  5.1609E+00  2.0780E-17  0.0000E+00
  1.7159E+06  5.3796E-02  6.0336E+03  1.4210E+09  2.0568E+05  1.2572E+05  1.3937E+13  7.3313E+04  5.8785E+08  5.1358E+00  2.3245E-17  0.0000E+00
  1.7896E+06  5.5713E-02  6.1430E+03  1.4068E+09  1.9625E+05  1.2003E+05  1.3041E+13  6.9982E+04  5.8010E+08  5.1107E+00  2.6002E-17  0.0000E+00
  1.8632E+06  5.7699E-02  6.2551E+03  1.3942E+09  1.8748E+05  1.1473E+05  1.2263E+13  6.6879E+04  5.7312E+08  5.0858E+00  2.9086E-17  0.0000E+00
  1.9368E+06  5.9755E-02  6.3700E+03  1.3831E+09  1.7928E+05  1.0978E+05  1.1534E+13  6.3980E+04  5.6680E+08  5.0609E+00  3.2536E-17  0.0000E+00
  2.0104E+06  6.1885E-02  6.4877E+03  1.3733E+09  1.7159E+05  1.0514E+05  1.0820E+13  6.1262E+04  5.6107E+08  5.0362E+00  3.6395E-17  0.0000E+00
