 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  9.1253E-08  1.1564E-17  1.0314E+03  1.9806E-07  1.9627E-07  1.4698E-15  8.9337E-16
  9.4540E-08  1.1781E-17  1.0314E+03  1.9822E-07  1.9630E-07  1.6776E-15  1.0662E-15
  9.7978E-08  1.2005E-17  1.0315E+03  1.9839E-07  1.9634E-07  1.9268E-15  1.2599E-15
  1.0155E-07  1.2236E-17  1.0315E+03  1.9858E-07  1.9639E-07  2.2215E-15  1.4800E-15
  1.0526E-07  1.2470E-17  1.0316E+03  1.9880E-07  1.9643E-07  2.5686E-15  1.7310E-15
  1.0910E-07  1.2710E-17  1.0316E+03  1.9903E-07  1.9649E-07  2.9757E-15  2.0189E-15
  1.1308E-07  1.2954E-17  1.0316E+03  1.9927E-07  1.9655E-07  3.4515E-15  2.3505E-15
  1.1720E-07  1.3202E-17  1.0317E+03  1.9954E-07  1.9662E-07  4.0067E-15  2.7333E-15
  1.2148E-07  1.3455E-17  1.0317E+03  1.9983E-07  1.9669E-07  4.6536E-15  3.1762E-15
  1.2591E-07  1.3714E-17  1.0318E+03  2.0014E-07  1.9676E-07  5.4067E-15  3.6892E-15
  1.3050E-07  1.3977E-17  1.0318E+03  2.0047E-07  1.9685E-07  6.2827E-15  4.2839E-15
  1.3527E-07  1.4246E-17  1.0319E+03  2.0083E-07  1.9694E-07  7.3018E-15  4.9740E-15
  1.4027E-07  1.4527E-17  1.0319E+03  2.0121E-07  1.9703E-07  8.4905E-15  5.7777E-15
  1.4545E-07  1.4813E-17  1.0320E+03  2.0162E-07  1.9714E-07  9.8742E-15  6.7116E-15
  1.5082E-07  1.5105E-17  1.0320E+03  2.0206E-07  1.9725E-07  1.1485E-14  7.7972E-15
  1.5639E-07  1.5403E-17  1.0321E+03  2.0254E-07  1.9737E-07  1.3359E-14  9.0592E-15
  1.6217E-07  1.5707E-17  1.0321E+03  2.0304E-07  1.9750E-07  1.5541E-14  1.0526E-14
