 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  2.2851E-05  4.9660E-16  1.0728E+03  2.3177E-06  7.4694E-07  7.3212E-06  2.0652E-06
  2.4091E-05  5.2913E-16  1.0744E+03  2.3210E-06  7.4750E-07  8.2568E-06  2.3206E-06
  2.5397E-05  5.6374E-16  1.0760E+03  2.3246E-06  7.4810E-07  9.3768E-06  2.6249E-06
  2.6775E-05  6.0054E-16  1.0776E+03  2.3284E-06  7.4876E-07  1.0723E-05  2.9892E-06
  2.8227E-05  6.3969E-16  1.0792E+03  2.3323E-06  7.4951E-07  1.2349E-05  3.4273E-06
  2.9835E-05  6.8582E-16  1.0810E+03  2.3362E-06  7.5033E-07  1.4361E-05  3.9677E-06
  3.1550E-05  7.3601E-16  1.0829E+03  2.3403E-06  7.5123E-07  1.6836E-05  4.6303E-06
  3.3364E-05  7.8977E-16  1.0847E+03  2.3444E-06  7.5217E-07  1.9882E-05  5.4440E-06
  3.5281E-05  8.4733E-16  1.0866E+03  2.3484E-06  7.5315E-07  2.3646E-05  6.4469E-06
  3.7309E-05  9.0896E-16  1.0885E+03  2.3523E-06  7.5415E-07  2.8308E-05  7.6870E-06
  3.9423E-05  9.7628E-16  1.0904E+03  2.3562E-06  7.5513E-07  3.4069E-05  9.2168E-06
  4.1619E-05  1.0501E-15  1.0925E+03  2.3599E-06  7.5609E-07  4.1169E-05  1.1100E-05
  4.3937E-05  1.1294E-15  1.0945E+03  2.3634E-06  7.5701E-07  4.9970E-05  1.3432E-05
  4.6385E-05  1.2144E-15  1.0965E+03  2.3667E-06  7.5787E-07  6.0896E-05  1.6324E-05
  4.8969E-05  1.3056E-15  1.0986E+03  2.3699E-06  7.5869E-07  7.4475E-05  1.9914E-05
  5.1693E-05  1.4035E-15  1.1006E+03  2.3729E-06  7.5945E-07  9.1361E-05  2.4375E-05
  5.4416E-05  1.5098E-15  1.1027E+03  2.3758E-06  7.6017E-07  1.1199E-04  2.9818E-05
  5.7282E-05  1.6239E-15  1.1049E+03  2.3785E-06  7.6084E-07  1.3742E-04  3.6526E-05
  6.0299E-05  1.7464E-15  1.1070E+03  2.3811E-06  7.6147E-07  1.6881E-04  4.4796E-05
  6.3475E-05  1.8777E-15  1.1092E+03  2.3835E-06  7.6206E-07  2.0754E-04  5.4993E-05
  6.6819E-05  2.0186E-15  1.1113E+03  2.3858E-06  7.6263E-07  2.5534E-04  6.7569E-05
  7.0294E-05  2.1714E-15  1.1135E+03  2.3880E-06  7.6316E-07  3.1412E-04  8.3025E-05
  7.3886E-05  2.3383E-15  1.1158E+03  2.3901E-06  7.6369E-07  3.8604E-04  1.0193E-04
  7.7661E-05  2.5174E-15  1.1181E+03  2.3921E-06  7.6420E-07  4.7431E-04  1.2512E-04
  8.1628E-05  2.7098E-15  1.1203E+03  2.3940E-06  7.6470E-07  5.8265E-04  1.5358E-04
  8.5799E-05  2.9163E-15  1.1226E+03  2.3958E-06  7.6520E-07  7.1557E-04  1.8849E-04
  9.0182E-05  3.1380E-15  1.1249E+03  2.3976E-06  7.6569E-07  8.7860E-04  2.3133E-04
  9.4537E-05  3.3706E-15  1.1271E+03  2.3993E-06  7.6621E-07  1.0751E-03  2.8297E-04
  9.9021E-05  3.6182E-15  1.1294E+03  2.4010E-06  7.6673E-07  1.3122E-03  3.4533E-04
  1.0372E-04  3.8831E-15  1.1317E+03  2.4026E-06  7.6728E-07  1.5990E-03  4.2083E-04
  1.0863E-04  4.1668E-15  1.1339E+03  2.4043E-06  7.6785E-07  1.9457E-03  5.1221E-04
  1.1379E-04  4.4704E-15  1.1362E+03  2.4059E-06  7.6846E-07  2.3644E-03  6.2275E-04
  1.1918E-04  4.7952E-15  1.1384E+03  2.4076E-06  7.6912E-07  2.8698E-03  7.5643E-04
  1.2460E-04  5.1373E-15  1.1407E+03  2.4093E-06  7.6983E-07  3.4713E-03  9.1593E-04
  1.3020E-04  5.5015E-15  1.1429E+03  2.4111E-06  7.7061E-07  4.1885E-03  1.1066E-03
  1.3606E-04  5.8904E-15  1.1452E+03  2.4130E-06  7.7148E-07  5.0441E-03  1.3349E-03
  1.4217E-04  6.3058E-15  1.1474E+03  2.4151E-06  7.7243E-07  6.0635E-03  1.6081E-03
  1.4857E-04  6.7494E-15  1.1497E+03  2.4172E-06  7.7350E-07  7.2763E-03  1.9345E-03
  1.5525E-04  7.2228E-15  1.1519E+03  2.4196E-06  7.7469E-07  8.7169E-03  2.3244E-03
  1.6268E-04  7.7711E-15  1.1544E+03  2.4221E-06  7.7604E-07  1.0457E-02  2.7983E-03
  1.7071E-04  8.3832E-15  1.1570E+03  2.4250E-06  7.7761E-07  1.2558E-02  3.3748E-03
  1.7914E-04  9.0415E-15  1.1595E+03  2.4283E-06  7.7942E-07  1.5074E-02  4.0715E-03
  1.8798E-04  9.7494E-15  1.1621E+03  2.4320E-06  7.8151E-07  1.8079E-02  4.9124E-03
  1.9726E-04  1.0510E-14  1.1646E+03  2.4361E-06  7.8392E-07  2.1656E-02  5.9262E-03
  2.0738E-04  1.1364E-14  1.1673E+03  2.4409E-06  7.8673E-07  2.5945E-02  7.1593E-03
  2.2068E-04  1.2544E-14  1.1707E+03  2.4466E-06  7.9013E-07  3.1494E-02  8.7789E-03
  2.3482E-04  1.3842E-14  1.1742E+03  2.4534E-06  7.9431E-07  3.8307E-02  1.0812E-02
  2.4988E-04  1.5268E-14  1.1776E+03  2.4616E-06  7.9941E-07  4.6613E-02  1.3361E-02
  2.6590E-04  1.6834E-14  1.1810E+03  2.4715E-06  8.0565E-07  5.6646E-02  1.6547E-02
  2.8810E-04  1.9148E-14  1.1856E+03  2.4840E-06  8.1365E-07  7.0034E-02  2.0953E-02
  3.1274E-04  2.1837E-14  1.1903E+03  2.5001E-06  8.2430E-07  8.6770E-02  2.6792E-02
  3.3948E-04  2.4887E-14  1.1950E+03  2.5209E-06  8.3831E-07  1.0698E-01  3.4425E-02
  3.7378E-04  2.9109E-14  1.2008E+03  2.5487E-06  8.5760E-07  1.3237E-01  4.5012E-02
  4.1345E-04  3.4310E-14  1.2069E+03  2.5870E-06  8.8556E-07  1.6157E-01  5.9356E-02
  4.5896E-04  4.0708E-14  1.2133E+03  2.6400E-06  9.2581E-07  1.9147E-01  7.8279E-02
  5.1571E-04  4.9508E-14  1.2208E+03  2.7163E-06  9.8919E-07  2.1674E-01  1.0338E-01
  5.8003E-04  6.0265E-14  1.2284E+03  2.8260E-06  1.0871E-06  2.2554E-01  1.3361E-01
  6.5956E-04  7.5327E-14  1.2373E+03  2.9856E-06  1.2485E-06  2.1054E-01  1.6789E-01
  7.5043E-04  9.4263E-14  1.2464E+03  3.2097E-06  1.4942E-06  2.0111E-01  1.7423E-01
  8.5611E-04  1.1948E-13  1.2562E+03  3.5120E-06  1.8537E-06  2.2889E-01  1.3268E-01
  9.7282E-04  1.5072E-13  1.2660E+03  3.8974E-06  2.3309E-06  2.4830E-01  9.8193E-02
  1.0985E-03  1.8897E-13  1.2758E+03  4.3610E-06  2.9244E-06  2.5875E-01  7.5256E-02
  1.2325E-03  2.3496E-13  1.2855E+03  4.8996E-06  3.6151E-06  2.6231E-01  6.1510E-02
  1.3749E-03  2.8992E-13  1.2949E+03  5.5016E-06  4.3713E-06  2.6162E-01  5.3938E-02
  1.5219E-03  3.5353E-13  1.3041E+03  6.1638E-06  5.1565E-06  2.5944E-01  4.8006E-02
  1.6740E-03  4.2696E-13  1.3129E+03  6.8707E-06  5.9429E-06  2.5849E-01  4.1560E-02
  1.8296E-03  5.0993E-13  1.3213E+03  7.6288E-06  6.7562E-06  2.5741E-01  3.5273E-02
  1.9813E-03  5.9992E-13  1.3292E+03  8.4173E-06  7.5408E-06  2.5803E-01  2.6942E-02
  2.1456E-03  7.0484E-13  1.3370E+03  9.2441E-06  8.3346E-06  2.5920E-01  1.9805E-02
  2.2897E-03  8.0919E-13  1.3439E+03  1.0098E-05  9.0738E-06  2.5822E-01  1.2663E-02
  2.4427E-03  9.2756E-13  1.3508E+03  1.0972E-05  9.8733E-06  2.5543E-01  9.0463E-03
  2.6012E-03  1.0595E-12  1.3576E+03  1.1873E-05  1.0660E-05  2.5267E-01  6.2454E-03
  2.7394E-03  1.1899E-12  1.3636E+03  1.2782E-05  1.1410E-05  2.4785E-01  4.1674E-03
  2.8848E-03  1.3353E-12  1.3697E+03  1.3697E-05  1.2142E-05  2.4365E-01  2.8265E-03
  3.0380E-03  1.4973E-12  1.3758E+03  1.4622E-05  1.2851E-05  2.3999E-01  1.9338E-03
  3.1680E-03  1.6565E-12  1.3813E+03  1.5551E-05  1.3529E-05  2.3475E-01  1.3237E-03
  3.3001E-03  1.8291E-12  1.3868E+03  1.6471E-05  1.4198E-05  2.3009E-01  9.4889E-04
  3.4378E-03  2.0184E-12  1.3922E+03  1.7387E-05  1.4857E-05  2.2614E-01  7.0302E-04
  3.5727E-03  2.2203E-12  1.3976E+03  1.8301E-05  1.5492E-05  2.2226E-01  5.2633E-04
  3.6917E-03  2.4255E-12  1.4027E+03  1.9202E-05  1.6115E-05  2.1782E-01  4.0699E-04
  3.8146E-03  2.6484E-12  1.4078E+03  2.0087E-05  1.6746E-05  2.1402E-01  3.2732E-04
  3.9416E-03  2.8903E-12  1.4129E+03  2.0959E-05  1.7376E-05  2.1075E-01  2.7071E-04
  4.0620E-03  3.1424E-12  1.4179E+03  2.1819E-05  1.7945E-05  2.0741E-01  2.1762E-04
  4.1707E-03  3.3993E-12  1.4226E+03  2.2657E-05  1.8550E-05  2.0383E-01  1.8300E-04
  4.2823E-03  3.6756E-12  1.4274E+03  2.3472E-05  1.9170E-05  2.0072E-01  1.5842E-04
  4.3969E-03  3.9728E-12  1.4322E+03  2.4267E-05  1.9781E-05  1.9800E-01  1.3935E-04
  4.5076E-03  4.2775E-12  1.4367E+03  2.5042E-05  2.0336E-05  1.9533E-01  1.1993E-04
  4.6089E-03  4.5773E-12  1.4409E+03  2.5796E-05  2.0727E-05  1.9254E-01  9.9792E-05
  4.7124E-03  4.8966E-12  1.4452E+03  2.6525E-05  2.1230E-05  1.9006E-01  8.8904E-05
  4.8183E-03  5.2365E-12  1.4494E+03  2.7231E-05  2.1781E-05  1.8786E-01  8.1529E-05
  4.9245E-03  5.5914E-12  1.4536E+03  2.7914E-05  2.2298E-05  1.8584E-01  7.4988E-05
  5.0219E-03  5.9302E-12  1.4573E+03  2.8574E-05  2.2675E-05  1.8368E-01  6.6843E-05
  5.1213E-03  6.2880E-12  1.4610E+03  2.9210E-05  2.2864E-05  1.8175E-01  5.7649E-05
  5.2226E-03  6.6659E-12  1.4648E+03  2.9821E-05  2.3237E-05  1.8002E-01  5.2665E-05
  5.3259E-03  7.0648E-12  1.4685E+03  3.0406E-05  2.3270E-05  1.7847E-01  4.5137E-05
  5.4230E-03  7.4439E-12  1.4719E+03  3.0965E-05  2.2941E-05  1.7684E-01  3.5545E-05
  5.5196E-03  7.8298E-12  1.4751E+03  3.1499E-05  2.2716E-05  1.7531E-01  3.0300E-05
  5.6179E-03  8.2343E-12  1.4784E+03  3.2006E-05  2.2346E-05  1.7393E-01  2.5758E-05
  5.7179E-03  8.6582E-12  1.4816E+03  3.2485E-05  2.1784E-05  1.7267E-01  2.1815E-05
  5.8178E-03  9.0850E-12  1.4847E+03  3.2933E-05  2.0558E-05  1.7148E-01  1.7206E-05
  5.9140E-03  9.4836E-12  1.4875E+03  3.3354E-05  1.8740E-05  1.7027E-01  1.4101E-05
  6.0119E-03  9.8986E-12  1.4903E+03  3.3750E-05  1.6737E-05  1.6915E-01  1.2164E-05
  6.1114E-03  1.0330E-11  1.4930E+03  3.4116E-05  1.0493E-05  1.6812E-01  1.2124E-05
  6.2125E-03  1.0780E-11  1.4958E+03  3.4452E-05  8.8014E-06  1.6715E-01  1.2787E-05
  6.3180E-03  1.1228E-11  1.4984E+03  3.4756E-05  6.0494E-06  1.6633E-01  1.6260E-05
  6.4269E-03  1.1680E-11  1.5009E+03  3.5008E-05  3.5008E-05  1.6572E-01  0.0000E+00
  6.5378E-03  1.2149E-11  1.5033E+03  3.5257E-05  3.5257E-05  1.6501E-01  0.0000E+00
  6.6505E-03  1.2636E-11  1.5058E+03  3.5476E-05  3.5476E-05  1.6433E-01  0.0000E+00
  6.7652E-03  1.3141E-11  1.5083E+03  3.5662E-05  3.5662E-05  1.6366E-01  0.0000E+00
  6.8936E-03  1.3673E-11  1.5108E+03  3.5816E-05  3.5816E-05  1.6328E-01  0.0000E+00
  7.0260E-03  1.4228E-11  1.5133E+03  3.5941E-05  3.5941E-05  1.6291E-01  0.0000E+00
  7.1610E-03  1.4803E-11  1.5158E+03  3.6035E-05  3.6035E-05  1.6251E-01  0.0000E+00
  7.2986E-03  1.5400E-11  1.5182E+03  3.6100E-05  3.6100E-05  1.6209E-01  0.0000E+00
  7.4410E-03  1.6027E-11  1.5207E+03  3.6138E-05  3.6138E-05  1.6169E-01  0.0000E+00
  7.6077E-03  1.6752E-11  1.5235E+03  3.6148E-05  3.6148E-05  1.6170E-01  0.0000E+00
  7.7782E-03  1.7509E-11  1.5262E+03  3.6134E-05  3.6134E-05  1.6166E-01  0.0000E+00
  7.9525E-03  1.8297E-11  1.5290E+03  3.6107E-05  3.6107E-05  1.6160E-01  0.0000E+00
  8.1307E-03  1.9119E-11  1.5317E+03  3.6081E-05  3.6081E-05  1.6156E-01  0.0000E+00
  8.3251E-03  2.0005E-11  1.5345E+03  3.6075E-05  3.6075E-05  1.6182E-01  0.0000E+00
  8.3821E-03  2.0251E-11  1.5353E+03  3.6079E-05  3.6079E-05  1.6205E-01  0.0000E+00
  8.4396E-03  2.0499E-11  1.5360E+03  3.6085E-05  3.6085E-05  1.6228E-01  0.0000E+00
  8.4974E-03  2.0751E-11  1.5368E+03  3.6095E-05  3.6095E-05  1.6252E-01  0.0000E+00
  8.5556E-03  2.1005E-11  1.5375E+03  3.6108E-05  3.6108E-05  1.6278E-01  0.0000E+00
  8.6142E-03  2.1263E-11  1.5383E+03  3.6125E-05  3.6125E-05  1.6304E-01  0.0000E+00
  8.6733E-03  2.1523E-11  1.5390E+03  3.6147E-05  3.6147E-05  1.6331E-01  0.0000E+00
  8.7327E-03  2.1787E-11  1.5397E+03  3.6172E-05  3.6172E-05  1.6359E-01  0.0000E+00
  8.7925E-03  2.2053E-11  1.5405E+03  3.6202E-05  3.6202E-05  1.6389E-01  0.0000E+00
  8.8528E-03  2.2323E-11  1.5412E+03  3.6237E-05  3.6237E-05  1.6420E-01  0.0000E+00
  8.9134E-03  2.2595E-11  1.5420E+03  3.6276E-05  3.6276E-05  1.6452E-01  0.0000E+00
  8.9745E-03  2.2871E-11  1.5427E+03  3.6320E-05  3.6320E-05  1.6486E-01  0.0000E+00
  9.0360E-03  2.3150E-11  1.5434E+03  3.6369E-05  3.6369E-05  1.6522E-01  0.0000E+00
  9.0979E-03  2.3432E-11  1.5442E+03  3.6423E-05  3.6423E-05  1.6558E-01  0.0000E+00
  9.1602E-03  2.3718E-11  1.5449E+03  3.6481E-05  3.6481E-05  1.6597E-01  0.0000E+00
  9.2230E-03  2.4007E-11  1.5457E+03  3.6543E-05  3.6543E-05  1.6637E-01  0.0000E+00
  9.2862E-03  2.4299E-11  1.5464E+03  3.6610E-05  3.6610E-05  1.6678E-01  0.0000E+00
  9.3498E-03  2.4594E-11  1.5471E+03  3.6681E-05  3.6681E-05  1.6720E-01  0.0000E+00
  9.4139E-03  2.4893E-11  1.5479E+03  3.6755E-05  3.6755E-05  1.6764E-01  0.0000E+00
  9.4978E-03  2.5252E-11  1.5487E+03  3.6833E-05  3.6833E-05  1.6843E-01  0.0000E+00
  9.5861E-03  2.5627E-11  1.5496E+03  3.6915E-05  3.6915E-05  1.6930E-01  0.0000E+00
  9.6051E-03  2.5708E-11  1.5498E+03  3.6933E-05  3.6933E-05  1.6948E-01  0.0000E+00
  9.6431E-03  2.5870E-11  1.5501E+03  3.6969E-05  3.6969E-05  1.6985E-01  0.0000E+00
  9.7196E-03  2.6197E-11  1.5509E+03  3.7043E-05  3.7043E-05  1.7060E-01  0.0000E+00
  9.8100E-03  2.6585E-11  1.5518E+03  3.7133E-05  3.7133E-05  1.7149E-01  0.0000E+00
  9.9012E-03  2.6979E-11  1.5526E+03  3.7226E-05  3.7226E-05  1.7239E-01  0.0000E+00
  9.9932E-03  2.7378E-11  1.5535E+03  3.7322E-05  3.7322E-05  1.7330E-01  0.0000E+00
  1.0086E-02  2.7782E-11  1.5543E+03  3.7422E-05  3.7422E-05  1.7421E-01  0.0000E+00
  1.0180E-02  2.8193E-11  1.5552E+03  3.7524E-05  3.7524E-05  1.7514E-01  0.0000E+00
  1.0274E-02  2.8609E-11  1.5561E+03  3.7629E-05  3.7629E-05  1.7608E-01  0.0000E+00
  1.0370E-02  2.9031E-11  1.5569E+03  3.7736E-05  3.7736E-05  1.7702E-01  0.0000E+00
  1.0466E-02  2.9459E-11  1.5578E+03  3.7847E-05  3.7847E-05  1.7798E-01  0.0000E+00
  1.0564E-02  2.9893E-11  1.5587E+03  3.7959E-05  3.7959E-05  1.7894E-01  0.0000E+00
  1.0662E-02  3.0332E-11  1.5595E+03  3.8074E-05  3.8074E-05  1.7992E-01  0.0000E+00
  1.0761E-02  3.0779E-11  1.5604E+03  3.8192E-05  3.8192E-05  1.8090E-01  0.0000E+00
  1.0861E-02  3.1231E-11  1.5613E+03  3.8311E-05  3.8311E-05  1.8189E-01  0.0000E+00
  1.0962E-02  3.1690E-11  1.5621E+03  3.8432E-05  3.8432E-05  1.8289E-01  0.0000E+00
  1.1064E-02  3.2155E-11  1.5630E+03  3.8556E-05  3.8556E-05  1.8390E-01  0.0000E+00
  1.1167E-02  3.2626E-11  1.5639E+03  3.8682E-05  3.8682E-05  1.8492E-01  0.0000E+00
  1.1271E-02  3.3104E-11  1.5647E+03  3.8809E-05  3.8809E-05  1.8595E-01  0.0000E+00
  1.1405E-02  3.3845E-11  1.5661E+03  3.8932E-05  3.8932E-05  1.8743E-01  0.0000E+00
  1.1541E-02  3.4603E-11  1.5676E+03  3.9048E-05  3.9048E-05  1.8893E-01  0.0000E+00
  1.1679E-02  3.5378E-11  1.5690E+03  3.9161E-05  3.9161E-05  1.9044E-01  0.0000E+00
  1.1819E-02  3.6168E-11  1.5704E+03  3.9271E-05  3.9271E-05  1.9199E-01  0.0000E+00
  1.1960E-02  3.6975E-11  1.5718E+03  3.9382E-05  3.9382E-05  1.9357E-01  0.0000E+00
  1.2103E-02  3.7799E-11  1.5732E+03  3.9492E-05  3.9492E-05  1.9518E-01  0.0000E+00
  1.2248E-02  3.8640E-11  1.5747E+03  3.9602E-05  3.9602E-05  1.9683E-01  0.0000E+00
  1.2394E-02  3.9499E-11  1.5761E+03  3.9713E-05  3.9713E-05  1.9853E-01  0.0000E+00
  1.2542E-02  4.0376E-11  1.5775E+03  3.9824E-05  3.9824E-05  2.0027E-01  0.0000E+00
  1.2692E-02  4.1271E-11  1.5789E+03  3.9935E-05  3.9935E-05  2.0206E-01  0.0000E+00
  1.2844E-02  4.2185E-11  1.5803E+03  4.0047E-05  4.0047E-05  2.0389E-01  0.0000E+00
  1.2998E-02  4.3118E-11  1.5817E+03  4.0158E-05  4.0158E-05  2.0578E-01  0.0000E+00
  1.3153E-02  4.4071E-11  1.5832E+03  4.0268E-05  4.0268E-05  2.0772E-01  0.0000E+00
  1.3310E-02  4.5043E-11  1.5846E+03  4.0378E-05  4.0378E-05  2.0971E-01  0.0000E+00
  1.3469E-02  4.6035E-11  1.5860E+03  4.0488E-05  4.0488E-05  2.1176E-01  0.0000E+00
  1.3630E-02  4.7048E-11  1.5874E+03  4.0596E-05  4.0596E-05  2.1387E-01  0.0000E+00
  1.3793E-02  4.8083E-11  1.5888E+03  4.0704E-05  4.0704E-05  2.1604E-01  0.0000E+00
  1.3958E-02  4.9138E-11  1.5903E+03  4.0810E-05  4.0810E-05  2.1828E-01  0.0000E+00
  1.4125E-02  5.0216E-11  1.5917E+03  4.0915E-05  4.0915E-05  2.2058E-01  0.0000E+00
  1.4301E-02  5.1527E-11  1.5934E+03  4.1014E-05  4.1014E-05  2.2303E-01  0.0000E+00
  1.4362E-02  5.2027E-11  1.5941E+03  4.1044E-05  4.1044E-05  2.2390E-01  0.0000E+00
  1.4486E-02  5.3042E-11  1.5955E+03  4.1099E-05  4.1099E-05  2.2569E-01  0.0000E+00
  1.4672E-02  5.4574E-11  1.5975E+03  4.1172E-05  4.1172E-05  2.2845E-01  0.0000E+00
  1.4859E-02  5.6147E-11  1.5995E+03  4.1238E-05  4.1238E-05  2.3136E-01  0.0000E+00
  1.5049E-02  5.7762E-11  1.6015E+03  4.1294E-05  4.1294E-05  2.3445E-01  0.0000E+00
  1.5241E-02  5.9421E-11  1.6035E+03  4.1342E-05  4.1342E-05  2.3771E-01  0.0000E+00
  1.5436E-02  6.1125E-11  1.6055E+03  4.1381E-05  4.1381E-05  2.4116E-01  0.0000E+00
  1.5615E-02  6.2711E-11  1.6073E+03  4.1408E-05  4.1408E-05  2.4447E-01  0.0000E+00
  1.5815E-02  6.4503E-11  1.6093E+03  4.1429E-05  4.1429E-05  2.4832E-01  0.0000E+00
  1.6016E-02  6.6339E-11  1.6113E+03  4.1441E-05  4.1441E-05  2.5238E-01  0.0000E+00
  1.6221E-02  6.8227E-11  1.6134E+03  4.1444E-05  4.1444E-05  2.5668E-01  0.0000E+00
  1.6357E-02  6.9492E-11  1.6147E+03  4.1442E-05  4.1442E-05  2.5964E-01  0.0000E+00
  1.6566E-02  7.1464E-11  1.6167E+03  4.1431E-05  4.1431E-05  2.6435E-01  0.0000E+00
  1.6777E-02  7.3488E-11  1.6187E+03  4.1414E-05  4.1414E-05  2.6932E-01  0.0000E+00
  1.6992E-02  7.5565E-11  1.6207E+03  4.1391E-05  4.1391E-05  2.7456E-01  0.0000E+00
  1.7209E-02  7.7698E-11  1.6227E+03  4.1364E-05  4.1364E-05  2.8007E-01  0.0000E+00
  1.7429E-02  7.9886E-11  1.6247E+03  4.1334E-05  4.1334E-05  2.8584E-01  0.0000E+00
  1.7652E-02  8.2132E-11  1.6267E+03  4.1304E-05  4.1304E-05  2.9186E-01  0.0000E+00
  1.7877E-02  8.4436E-11  1.6287E+03  4.1276E-05  4.1276E-05  2.9813E-01  0.0000E+00
  1.8106E-02  8.6802E-11  1.6307E+03  4.1254E-05  4.1254E-05  3.0462E-01  0.0000E+00
  1.8323E-02  8.9503E-11  1.6331E+03  4.1232E-05  4.1232E-05  3.1108E-01  0.0000E+00
  1.8536E-02  9.2385E-11  1.6355E+03  4.1206E-05  4.1206E-05  3.1776E-01  0.0000E+00
  1.8752E-02  9.5360E-11  1.6380E+03  4.1182E-05  4.1182E-05  3.2476E-01  0.0000E+00
  1.8971E-02  9.8423E-11  1.6404E+03  4.1163E-05  4.1163E-05  3.3202E-01  0.0000E+00
  1.9193E-02  1.0158E-10  1.6429E+03  4.1154E-05  4.1154E-05  3.3948E-01  0.0000E+00
  1.9327E-02  1.0352E-10  1.6444E+03  4.1155E-05  4.1155E-05  3.4403E-01  0.0000E+00
  1.9553E-02  1.0683E-10  1.6468E+03  4.1171E-05  4.1171E-05  3.5165E-01  0.0000E+00
  1.9781E-02  1.1023E-10  1.6493E+03  4.1207E-05  4.1207E-05  3.5925E-01  0.0000E+00
  2.0012E-02  1.1373E-10  1.6518E+03  4.1267E-05  4.1267E-05  3.6675E-01  0.0000E+00
  2.0246E-02  1.1734E-10  1.6542E+03  4.1353E-05  4.1353E-05  3.7405E-01  0.0000E+00
  2.0482E-02  1.2105E-10  1.6567E+03  4.1466E-05  4.1466E-05  3.8109E-01  0.0000E+00
  2.0721E-02  1.2487E-10  1.6591E+03  4.1607E-05  4.1607E-05  3.8782E-01  0.0000E+00
  2.0963E-02  1.2880E-10  1.6616E+03  4.1776E-05  4.1776E-05  3.9419E-01  0.0000E+00
  2.1208E-02  1.3284E-10  1.6641E+03  4.1971E-05  4.1971E-05  4.0019E-01  0.0000E+00
  2.1456E-02  1.3700E-10  1.6665E+03  4.2191E-05  4.2191E-05  4.0582E-01  0.0000E+00
  2.1706E-02  1.4129E-10  1.6690E+03  4.2434E-05  4.2434E-05  4.1109E-01  0.0000E+00
  2.1960E-02  1.4569E-10  1.6715E+03  4.2698E-05  4.2698E-05  4.1603E-01  0.0000E+00
  2.2216E-02  1.5023E-10  1.6739E+03  4.2980E-05  4.2980E-05  4.2067E-01  0.0000E+00
  2.2475E-02  1.5489E-10  1.6764E+03  4.3280E-05  4.3280E-05  4.2503E-01  0.0000E+00
  2.2738E-02  1.5969E-10  1.6788E+03  4.3595E-05  4.3595E-05  4.2915E-01  0.0000E+00
  2.2990E-02  1.6416E-10  1.6810E+03  4.3927E-05  4.3927E-05  4.3277E-01  0.0000E+00
  2.3238E-02  1.6855E-10  1.6831E+03  4.4280E-05  4.4280E-05  4.3586E-01  0.0000E+00
  2.3490E-02  1.7305E-10  1.6852E+03  4.4649E-05  4.4649E-05  4.3864E-01  0.0000E+00
  2.3744E-02  1.7767E-10  1.6874E+03  4.5029E-05  4.5029E-05  4.4120E-01  0.0000E+00
  2.4000E-02  1.8239E-10  1.6895E+03  4.5420E-05  4.5420E-05  4.4359E-01  0.0000E+00
  2.4260E-02  1.8723E-10  1.6916E+03  4.5820E-05  4.5820E-05  4.4585E-01  0.0000E+00
  2.4522E-02  1.9219E-10  1.6937E+03  4.6227E-05  4.6227E-05  4.4802E-01  0.0000E+00
  2.4787E-02  1.9728E-10  1.6958E+03  4.6642E-05  4.6642E-05  4.5009E-01  0.0000E+00
  2.5056E-02  2.0249E-10  1.6979E+03  4.7063E-05  4.7063E-05  4.5209E-01  0.0000E+00
  2.5327E-02  2.0782E-10  1.7000E+03  4.7492E-05  4.7492E-05  4.5402E-01  0.0000E+00
  2.5600E-02  2.1329E-10  1.7021E+03  4.7926E-05  4.7926E-05  4.5588E-01  0.0000E+00
  2.5877E-02  2.1888E-10  1.7042E+03  4.8367E-05  4.8367E-05  4.5767E-01  0.0000E+00
  2.6157E-02  2.2462E-10  1.7063E+03  4.8814E-05  4.8814E-05  4.5940E-01  0.0000E+00
  2.6440E-02  2.3049E-10  1.7084E+03  4.9268E-05  4.9268E-05  4.6107E-01  0.0000E+00
  2.6726E-02  2.3651E-10  1.7105E+03  4.9727E-05  4.9727E-05  4.6269E-01  0.0000E+00
  2.7015E-02  2.4267E-10  1.7126E+03  5.0193E-05  5.0193E-05  4.6424E-01  0.0000E+00
  2.7307E-02  2.4898E-10  1.7147E+03  5.0664E-05  5.0664E-05  4.6574E-01  0.0000E+00
  2.7602E-02  2.5545E-10  1.7168E+03  5.1142E-05  5.1142E-05  4.6719E-01  0.0000E+00
  2.7901E-02  2.6207E-10  1.7189E+03  5.1625E-05  5.1625E-05  4.6858E-01  0.0000E+00
  2.8203E-02  2.6885E-10  1.7210E+03  5.2114E-05  5.2114E-05  4.6993E-01  0.0000E+00
  2.8494E-02  2.7502E-10  1.7228E+03  5.2614E-05  5.2614E-05  4.7092E-01  0.0000E+00
  2.8787E-02  2.8126E-10  1.7246E+03  5.3124E-05  5.3124E-05  4.7171E-01  0.0000E+00
  2.9083E-02  2.8763E-10  1.7264E+03  5.3641E-05  5.3641E-05  4.7241E-01  0.0000E+00
  2.9382E-02  2.9414E-10  1.7283E+03  5.4163E-05  5.4163E-05  4.7306E-01  0.0000E+00
  2.9685E-02  3.0078E-10  1.7301E+03  5.4690E-05  5.4690E-05  4.7369E-01  0.0000E+00
  2.9990E-02  3.0756E-10  1.7319E+03  5.5222E-05  5.5222E-05  4.7428E-01  0.0000E+00
