 itemax= 24 sampling= OS  molold= 1
 TOTAL FLUX= 4.0138E+09 ERGS/CM**2/S  TEFF= 2900. K
 TOTAL FLUX= 3.4625E+09 ERGS/CM**2/S  TEFF= 2795. K
 TOTAL FLUX= 2.9711E+09 ERGS/CM**2/S  TEFF= 2690. K
 TOTAL FLUX= 2.5346E+09 ERGS/CM**2/S  TEFF= 2585. K
