 itemax= 24 sampling= OS  molold= 1
 TOTAL FLUX= 8.4838E+09 ERGS/CM**2/S  TEFF= 3497. K
 TOTAL FLUX= 9.4439E+09 ERGS/CM**2/S  TEFF= 3592. K
 TOTAL FLUX= 1.0564E+10 ERGS/CM**2/S  TEFF= 3694. K
 TOTAL FLUX= 1.0847E+10 ERGS/CM**2/S  TEFF= 3718. K
 TOTAL FLUX= 1.1017E+10 ERGS/CM**2/S  TEFF= 3733. K
