#           wl        cont         all         h2o      planck
    22.1238005  2.8586E+04  2.1931E+04  2.1933E+04  2.8448E+04
    22.0906405  2.8754E+04  2.2955E+04  2.2968E+04  2.8614E+04
    22.0575302  2.8922E+04  2.2958E+04  2.2967E+04  2.8781E+04
    22.0244695  2.9092E+04  2.2147E+04  2.2168E+04  2.8949E+04
    21.9914584  2.9262E+04  2.2945E+04  2.2946E+04  2.9118E+04
    21.9584968  2.9434E+04  2.2703E+04  2.2703E+04  2.9288E+04
    21.9255845  2.9606E+04  2.3378E+04  2.3383E+04  2.9459E+04
    21.8927216  2.9779E+04  2.3557E+04  2.3557E+04  2.9632E+04
    21.8599080  2.9954E+04  2.2676E+04  2.2676E+04  2.9805E+04
    21.8271435  3.0129E+04  2.2657E+04  2.2701E+04  2.9979E+04
    21.7944282  3.0306E+04  2.3100E+04  2.3124E+04  3.0154E+04
    21.7617619  3.0483E+04  2.3812E+04  2.3812E+04  3.0330E+04
    21.7291445  3.0661E+04  2.3640E+04  2.3863E+04  3.0507E+04
    21.6965760  3.0841E+04  2.3876E+04  2.3889E+04  3.0685E+04
    21.6640564  3.1022E+04  2.3819E+04  2.3819E+04  3.0864E+04
    21.6315855  3.1203E+04  2.5219E+04  2.5220E+04  3.1044E+04
    21.5991632  3.1386E+04  2.4426E+04  2.4426E+04  3.1226E+04
    21.5667896  3.1570E+04  2.4471E+04  2.4852E+04  3.1408E+04
    21.5344644  3.1754E+04  2.4258E+04  2.4258E+04  3.1591E+04
    21.5021878  3.1940E+04  2.4245E+04  2.4562E+04  3.1776E+04
    21.4699595  3.2127E+04  2.5363E+04  2.5654E+04  3.1961E+04
    21.4377795  3.2315E+04  2.5369E+04  2.5369E+04  3.2148E+04
    21.4056477  3.2504E+04  2.4630E+04  2.5018E+04  3.2335E+04
    21.3735641  3.2694E+04  2.5115E+04  2.5119E+04  3.2524E+04
    21.3415286  3.2886E+04  2.6351E+04  2.6478E+04  3.2714E+04
    21.3095411  3.3078E+04  2.6666E+04  2.6670E+04  3.2905E+04
    21.2776016  3.3272E+04  2.6812E+04  2.6949E+04  3.3097E+04
    21.2457099  3.3466E+04  2.5826E+04  2.5826E+04  3.3290E+04
    21.2138660  3.3662E+04  2.5458E+04  2.5458E+04  3.3484E+04
    21.1820698  3.3859E+04  2.6268E+04  2.6268E+04  3.3679E+04
    21.1503213  3.4057E+04  2.6696E+04  2.6696E+04  3.3876E+04
    21.1186204  3.4257E+04  2.5665E+04  2.5665E+04  3.4074E+04
    21.0869670  3.4457E+04  2.6178E+04  2.6201E+04  3.4272E+04
    21.0553611  3.4659E+04  2.6737E+04  2.6738E+04  3.4472E+04
    21.0238025  3.4861E+04  2.6818E+04  2.6821E+04  3.4673E+04
    20.9922912  3.5065E+04  2.6605E+04  2.6617E+04  3.4876E+04
    20.9608272  3.5270E+04  2.8775E+04  2.8778E+04  3.5079E+04
    20.9294103  3.5477E+04  2.7067E+04  2.7320E+04  3.5284E+04
    20.8980405  3.5684E+04  2.6620E+04  2.6858E+04  3.5489E+04
    20.8667177  3.5893E+04  2.8040E+04  2.8308E+04  3.5696E+04
    20.8354419  3.6103E+04  2.7648E+04  2.7745E+04  3.5904E+04
    20.8042129  3.6314E+04  2.7595E+04  2.7603E+04  3.6114E+04
    20.7730308  3.6526E+04  2.8328E+04  2.8328E+04  3.6324E+04
    20.7418954  3.6740E+04  2.9066E+04  2.9066E+04  3.6536E+04
    20.7108066  3.6955E+04  2.8703E+04  2.8703E+04  3.6749E+04
    20.6797645  3.7171E+04  2.9061E+04  2.9061E+04  3.6963E+04
    20.6487689  3.7388E+04  2.8882E+04  2.8882E+04  3.7179E+04
    20.6178197  3.7606E+04  3.0005E+04  3.0005E+04  3.7396E+04
