#           wl        cont         all         h2o      planck
    22.1238005  2.7837E+04  2.2290E+04  2.2294E+04  2.8448E+04
    22.0906405  2.8000E+04  2.3115E+04  2.3118E+04  2.8614E+04
    22.0575302  2.8164E+04  2.2940E+04  2.2941E+04  2.8781E+04
    22.0244695  2.8329E+04  2.2583E+04  2.2676E+04  2.8949E+04
    21.9914584  2.8495E+04  2.2960E+04  2.2960E+04  2.9118E+04
    21.9584968  2.8661E+04  2.3702E+04  2.3706E+04  2.9288E+04
    21.9255845  2.8829E+04  2.3634E+04  2.3639E+04  2.9459E+04
    21.8927216  2.8998E+04  2.3172E+04  2.3173E+04  2.9632E+04
    21.8599080  2.9168E+04  2.3016E+04  2.3016E+04  2.9805E+04
    21.8271435  2.9338E+04  2.3151E+04  2.3308E+04  2.9979E+04
    21.7944282  2.9510E+04  2.3588E+04  2.3718E+04  3.0154E+04
    21.7617619  2.9683E+04  2.3634E+04  2.3636E+04  3.0330E+04
    21.7291445  2.9856E+04  2.4097E+04  2.4248E+04  3.0507E+04
    21.6965760  3.0031E+04  2.4909E+04  2.5116E+04  3.0685E+04
    21.6640564  3.0207E+04  2.4631E+04  2.4644E+04  3.0864E+04
    21.6315855  3.0383E+04  2.5100E+04  2.5101E+04  3.1044E+04
    21.5991632  3.0561E+04  2.4642E+04  2.4642E+04  3.1226E+04
    21.5667896  3.0740E+04  2.4759E+04  2.4875E+04  3.1408E+04
    21.5344644  3.0920E+04  2.4520E+04  2.4520E+04  3.1591E+04
    21.5021878  3.1101E+04  2.4860E+04  2.5136E+04  3.1776E+04
    21.4699595  3.1283E+04  2.5481E+04  2.5564E+04  3.1961E+04
    21.4377795  3.1466E+04  2.5599E+04  2.5599E+04  3.2148E+04
    21.4056477  3.1650E+04  2.5454E+04  2.5697E+04  3.2335E+04
    21.3735641  3.1835E+04  2.5202E+04  2.5203E+04  3.2524E+04
    21.3415286  3.2021E+04  2.5940E+04  2.6213E+04  3.2714E+04
    21.3095411  3.2208E+04  2.6919E+04  2.6923E+04  3.2905E+04
    21.2776016  3.2396E+04  2.7343E+04  2.7484E+04  3.3097E+04
    21.2457099  3.2586E+04  2.6501E+04  2.6502E+04  3.3290E+04
    21.2138660  3.2776E+04  2.6174E+04  2.6175E+04  3.3484E+04
    21.1820698  3.2968E+04  2.6277E+04  2.6277E+04  3.3679E+04
    21.1503213  3.3161E+04  2.6509E+04  2.6509E+04  3.3876E+04
    21.1186204  3.3355E+04  2.6161E+04  2.6161E+04  3.4074E+04
    21.0869670  3.3550E+04  2.6244E+04  2.6248E+04  3.4272E+04
    21.0553611  3.3746E+04  2.8319E+04  2.8336E+04  3.4472E+04
    21.0238025  3.3943E+04  2.8110E+04  2.8122E+04  3.4673E+04
    20.9922912  3.4141E+04  2.6940E+04  2.6952E+04  3.4876E+04
    20.9608272  3.4341E+04  2.8378E+04  2.8384E+04  3.5079E+04
    20.9294103  3.4542E+04  2.7203E+04  2.7210E+04  3.5284E+04
    20.8980405  3.4744E+04  2.7971E+04  2.8297E+04  3.5489E+04
    20.8667177  3.4946E+04  2.8835E+04  2.9208E+04  3.5696E+04
    20.8354419  3.5151E+04  2.7999E+04  2.8243E+04  3.5904E+04
    20.8042129  3.5356E+04  2.7742E+04  2.7813E+04  3.6114E+04
    20.7730308  3.5563E+04  2.8762E+04  2.8762E+04  3.6324E+04
    20.7418954  3.5770E+04  2.8994E+04  2.8995E+04  3.6536E+04
    20.7108066  3.5980E+04  2.9466E+04  2.9466E+04  3.6749E+04
    20.6797645  3.6190E+04  3.0183E+04  3.0183E+04  3.6963E+04
    20.6487689  3.6401E+04  2.9933E+04  2.9933E+04  3.7179E+04
    20.6178197  3.6614E+04  2.9581E+04  2.9582E+04  3.7396E+04
    20.5869169  3.6828E+04  3.0419E+04  3.0420E+04  3.7614E+04
    20.5560605  3.7043E+04  3.0176E+04  3.0176E+04  3.7833E+04
    20.5252503  3.7259E+04  3.0121E+04  3.0121E+04  3.8053E+04
    20.4944862  3.7477E+04  2.9790E+04  2.9819E+04  3.8275E+04
    20.4637683  3.7696E+04  2.8550E+04  2.8667E+04  3.8498E+04
    20.4330965  3.7916E+04  3.1099E+04  3.1107E+04  3.8722E+04
    20.4024706  3.8137E+04  3.1125E+04  3.1126E+04  3.8948E+04
    20.3718905  3.8360E+04  3.2015E+04  3.2140E+04  3.9175E+04
    20.3413564  3.8584E+04  3.0411E+04  3.0412E+04  3.9403E+04
    20.3108680  3.8809E+04  3.1149E+04  3.1162E+04  3.9633E+04
    20.2804253  3.9036E+04  3.2073E+04  3.2075E+04  3.9864E+04
    20.2500282  3.9264E+04  3.1434E+04  3.1435E+04  4.0096E+04
    20.2196767  3.9493E+04  3.1872E+04  3.1873E+04  4.0330E+04
    20.1893707  3.9724E+04  3.1728E+04  3.1729E+04  4.0565E+04
    20.1591101  3.9955E+04  3.1407E+04  3.1689E+04  4.0801E+04
    20.1288948  4.0189E+04  3.2093E+04  3.2425E+04  4.1038E+04
    20.0987249  4.0423E+04  3.3714E+04  3.3715E+04  4.1277E+04
    20.0686001  4.0659E+04  3.1826E+04  3.2174E+04  4.1518E+04
    20.0385206  4.0896E+04  3.2968E+04  3.3223E+04  4.1760E+04
    20.0084860  4.1135E+04  3.3945E+04  3.4172E+04  4.2003E+04
    19.9784966  4.1375E+04  3.3636E+04  3.3680E+04  4.2247E+04
    19.9485520  4.1617E+04  3.3896E+04  3.3918E+04  4.2493E+04
    19.9186524  4.1860E+04  3.3658E+04  3.3678E+04  4.2741E+04
    19.8887976  4.2104E+04  3.4346E+04  3.4347E+04  4.2990E+04
    19.8589875  4.2349E+04  3.3659E+04  3.3660E+04  4.3240E+04
    19.8292221  4.2597E+04  3.3998E+04  3.3999E+04  4.3492E+04
    19.7995013  4.2845E+04  3.4082E+04  3.4084E+04  4.3745E+04
    19.7698250  4.3095E+04  3.4897E+04  3.4898E+04  4.4000E+04
    19.7401933  4.3346E+04  3.4257E+04  3.4257E+04  4.4256E+04
    19.7106059  4.3599E+04  3.6443E+04  3.6444E+04  4.4513E+04
    19.6810629  4.3854E+04  3.5597E+04  3.5599E+04  4.4772E+04
    19.6515642  4.4109E+04  3.3796E+04  3.4074E+04  4.5033E+04
    19.6221097  4.4367E+04  3.4733E+04  3.4952E+04  4.5295E+04
    19.5926993  4.4625E+04  3.5507E+04  3.5589E+04  4.5558E+04
    19.5633330  4.4886E+04  3.4844E+04  3.5099E+04  4.5823E+04
    19.5340107  4.5147E+04  3.7853E+04  3.7854E+04  4.6090E+04
    19.5047324  4.5411E+04  3.7204E+04  3.7204E+04  4.6358E+04
    19.4754980  4.5675E+04  3.7349E+04  3.7351E+04  4.6628E+04
    19.4463074  4.5942E+04  3.6339E+04  3.6342E+04  4.6899E+04
    19.4171605  4.6210E+04  3.6513E+04  3.6514E+04  4.7172E+04
    19.3880573  4.6480E+04  3.8413E+04  3.8462E+04  4.7446E+04
    19.3589978  4.6750E+04  3.7901E+04  3.7902E+04  4.7722E+04
    19.3299817  4.7023E+04  3.7496E+04  3.7566E+04  4.8000E+04
    19.3010092  4.7297E+04  3.7901E+04  3.8012E+04  4.8279E+04
    19.2720801  4.7572E+04  3.8589E+04  3.8612E+04  4.8560E+04
    19.2431944  4.7850E+04  3.9417E+04  3.9597E+04  4.8842E+04
    19.2143520  4.8129E+04  3.6458E+04  3.6459E+04  4.9126E+04
    19.1855528  4.8409E+04  3.7595E+04  3.7596E+04  4.9412E+04
    19.1567967  4.8691E+04  3.9534E+04  3.9535E+04  4.9699E+04
    19.1280838  4.8975E+04  4.0092E+04  4.0247E+04  4.9988E+04
    19.0994139  4.9260E+04  4.0791E+04  4.0963E+04  5.0279E+04
    19.0707870  4.9547E+04  3.9593E+04  3.9729E+04  5.0571E+04
    19.0422030  4.9836E+04  4.0431E+04  4.0584E+04  5.0865E+04
    19.0136618  5.0126E+04  4.1010E+04  4.1103E+04  5.1161E+04
    18.9851634  5.0419E+04  3.9206E+04  3.9209E+04  5.1458E+04
    18.9567077  5.0712E+04  4.2077E+04  4.2102E+04  5.1757E+04
    18.9282946  5.1008E+04  4.1614E+04  4.1616E+04  5.2058E+04
    18.8999242  5.1305E+04  4.0921E+04  4.0923E+04  5.2360E+04
    18.8715963  5.1604E+04  4.1980E+04  4.2589E+04  5.2665E+04
    18.8433108  5.1904E+04  4.1389E+04  4.1772E+04  5.2971E+04
    18.8150677  5.2206E+04  4.1089E+04  4.1090E+04  5.3278E+04
    18.7868670  5.2511E+04  4.2524E+04  4.2959E+04  5.3588E+04
    18.7587085  5.2816E+04  4.0944E+04  4.0947E+04  5.3899E+04
    18.7305923  5.3124E+04  4.1184E+04  4.1185E+04  5.4212E+04
    18.7025181  5.3433E+04  4.2124E+04  4.2127E+04  5.4527E+04
    18.6744861  5.3744E+04  4.2775E+04  4.2776E+04  5.4844E+04
    18.6464960  5.4057E+04  4.3201E+04  4.3203E+04  5.5163E+04
    18.6185480  5.4372E+04  4.2848E+04  4.2850E+04  5.5483E+04
    18.5906418  5.4689E+04  4.0519E+04  4.0521E+04  5.5805E+04
    18.5627774  5.5007E+04  4.4036E+04  4.4038E+04  5.6129E+04
    18.5349548  5.5327E+04  4.3723E+04  4.3925E+04  5.6455E+04
